# Program:featureCounts v1.6.0; Command:"featureCounts" "-g" "gene_id" "-T" "8" "-G" "genome/candida_lusitaniae_ATCC42720_w_CBS_6936_MT.fasta" "-s" "1" "-a" "genome/candida_lusitaniae_1_transcripts.gtf" "--tmpDir" "/scratch" "-o" "results/featureCounts/L4C.r1.gsnap_reads.tab" "-F" "GTF" "aln/L4C.r1.gsnap.bam" 
Geneid	Chr	Start	End	Strand	Length	aln/L4C.r1.gsnap.bam
CLUG_00114	Supercontig_1.1	220901	221587	+	687	5030
CLUG_00115	Supercontig_1.1	220922	221587	-	666	4389
CLUG_00116	Supercontig_1.1	222258	225437	+	3180	2010
CLUG_00117	Supercontig_1.1	225983	228367	-	2385	3143
CLUG_00118	Supercontig_1.1	228655	230724	-	2070	4170
CLUG_00119	Supercontig_1.1	231288	232178	+	891	734
CLUG_00120	Supercontig_1.1	232513	233979	+	1467	2939
CLUG_00121	Supercontig_1.1	234184	236247	-	2064	2406
CLUG_00122	Supercontig_1.1	236768	237784	-	1017	3014
CLUG_00123	Supercontig_1.1	238263	239360	-	1098	74319
CLUG_00124	Supercontig_1.1	241828	244869	+	3042	8073
CLUG_00125	Supercontig_1.1	244995	245465	-	471	725
CLUG_00126	Supercontig_1.1	245577	246428	+	852	1000
CLUG_00127	Supercontig_1.1	246558	247358	-	801	876
CLUG_00128	Supercontig_1.1	247433	248101	+	669	314
CLUG_00129	Supercontig_1.1	248448	249200	+	753	2689
CLUG_00130	Supercontig_1.1	249616	250155	-	540	2454
CLUG_00131	Supercontig_1.1	250662	253643	+	2982	2512
CLUG_00132	Supercontig_1.1	253870	254721	+	852	1069
CLUG_00133	Supercontig_1.1	254840	255403	+	564	753
CLUG_00134	Supercontig_1.1	256301	257464	-	1164	4387
CLUG_00135	Supercontig_1.1	257911	261987	-	4077	2511
CLUG_00136	Supercontig_1.1	262184	263068	-	885	310
CLUG_00137	Supercontig_1.1	263192	264289	-	1098	4940
CLUG_00138	Supercontig_1.1	265160	266776	+	1617	4256
CLUG_00139	Supercontig_1.1	268882	270564	+	1683	3048
CLUG_00140	Supercontig_1.1	270764	271351	+	588	4572
CLUG_00141	Supercontig_1.1	271378	273213	-	1836	3003
CLUG_00142	Supercontig_1.1	273503	276331	+	2829	1549
CLUG_00143	Supercontig_1.1	276397	279642	+	3246	1443
CLUG_00144	Supercontig_1.1	279763	281226	+	1464	2734
CLUG_00145	Supercontig_1.1	281556	282338	+	783	1528
CLUG_00146	Supercontig_1.1	282498	282935	-	438	282
CLUG_00147	Supercontig_1.1	283043	284203	+	1161	816
CLUG_00148	Supercontig_1.1	284825	285040	+	216	3351
CLUG_00149	Supercontig_1.1	286408	289902	+	3495	6202
CLUG_00150	Supercontig_1.1	289934	290362	-	429	847
CLUG_00151	Supercontig_1.1	291662	292117	-	456	33927
CLUG_00152	Supercontig_1.1	291858	292736	+	879	80052
CLUG_00153	Supercontig_1.1	292811	293890	+	1080	2432
CLUG_00154	Supercontig_1.1	294331	295437	-	1107	939
CLUG_00155	Supercontig_1.1	296001	297074	+	1074	2478
CLUG_00156	Supercontig_1.1	297199	299322	-	2124	677
CLUG_00157	Supercontig_1.1	299898	300494	-	597	1239
CLUG_00158	Supercontig_1.1	300898	302001	-	1104	2313
CLUG_00159	Supercontig_1.1	302640	302984	-	345	2508
CLUG_00160	Supercontig_1.1	303147	308459	-	5313	7527
CLUG_00161	Supercontig_1.1	309090	309344	-	255	224
CLUG_00162	Supercontig_1.1	309763	311703	-	1941	1271
CLUG_00163	Supercontig_1.1	312946	314676	+	1731	2233
CLUG_00164	Supercontig_1.1	315320	317425	+	2106	1169
CLUG_00165	Supercontig_1.1	317672	320599	+	2928	2128
CLUG_00166	Supercontig_1.1	321399	324881	+	3483	9077
CLUG_00167	Supercontig_1.1	325196	325618	+	423	693
CLUG_00168	Supercontig_1.1	326287	327861	+	1575	3496
CLUG_00169	Supercontig_1.1	328836	329915	+	1080	3036
CLUG_00170	Supercontig_1.1	331505	333535	+	2031	30606
CLUG_00171	Supercontig_1.1	333938	334984	-	1047	46255
CLUG_00172	Supercontig_1.1	337926	339587	-	1662	440
CLUG_00173	Supercontig_1.1	339667	340134	-	468	131
CLUG_00174	Supercontig_1.1	340228	341355	+	1128	2396
CLUG_00175	Supercontig_1.1	341445	342698	+	1254	3291
CLUG_00176	Supercontig_1.1	344260	345711	-	1452	79501
CLUG_00177	Supercontig_1.1	347815	349350	+	1536	8992
CLUG_00178	Supercontig_1.1	350485	351861	+	1377	37720
CLUG_00179	Supercontig_1.1	352779	355868	+	3090	18641
CLUG_00180	Supercontig_1.1	357124	358230	+	1107	2072
CLUG_00181	Supercontig_1.1	359036	359938	+	903	1196
CLUG_00182	Supercontig_1.1	361174	361605	+	432	421
CLUG_00183	Supercontig_1.1	362173	364440	-	2268	5589
CLUG_00184	Supercontig_1.1	365541	366821	-	1281	1359
CLUG_00185	Supercontig_1.1	368136	369476	+	1341	558
CLUG_00186	Supercontig_1.1	370242	370898	+	657	893
CLUG_00187	Supercontig_1.1	371174	371827	-	654	2483
CLUG_00188	Supercontig_1.1	371453	371992	+	540	1135
CLUG_00189	Supercontig_1.1	372603	373259	+	657	2894
CLUG_00190	Supercontig_1.1	373720	374346	-	627	1923
CLUG_00191	Supercontig_1.1	376794	377327	+	534	2757
CLUG_00192	Supercontig_1.1	377513	379465	-	1953	1907
CLUG_00193	Supercontig_1.1	380451	381893	-	1443	2048
CLUG_00194	Supercontig_1.1	381973	383442	-	1470	135
CLUG_00195	Supercontig_1.1	385283	387031	+	1749	2282
CLUG_00196	Supercontig_1.1	388135	392499	-	4365	4370
CLUG_00197	Supercontig_1.1	392591	396217	-	3627	1854
CLUG_00198	Supercontig_1.1	396992	397672	+	681	770
CLUG_00199	Supercontig_1.1	398138	398845	-	708	47174
CLUG_00200	Supercontig_1.1	399222	399776	+	555	18
CLUG_00201	Supercontig_1.1	400899	405125	+	4227	3013
CLUG_00202	Supercontig_1.1	405611	406066	+	456	1750
CLUG_00203	Supercontig_1.1	407123	408253	+	1131	10965
CLUG_00204	Supercontig_1.1	408955	409992	+	1038	14121
CLUG_00205	Supercontig_1.1	410755	412602	+	1848	2705
CLUG_00206	Supercontig_1.1	412791	413579	+	789	4306
CLUG_00207	Supercontig_1.1	414569	416347	+	1779	3138
CLUG_00208	Supercontig_1.1	418924	420453	+	1530	9969
CLUG_00209	Supercontig_1.1	421327	422364	+	1038	4173
CLUG_00210	Supercontig_1.1	423401	425182	+	1782	3052
CLUG_00211	Supercontig_1.1	425533	427863	+	2331	3974
CLUG_00212	Supercontig_1.1	428212	429516	+	1305	3880
CLUG_00213	Supercontig_1.1	430078	431499	+	1422	1585
CLUG_00214	Supercontig_1.1	431640	433583	+	1944	1811
CLUG_00215	Supercontig_1.1	434218	435630	+	1413	3891
CLUG_00216	Supercontig_1.1	436585	437484	-	900	1239
CLUG_00217	Supercontig_1.1	437704	438393	-	690	1285
CLUG_00218	Supercontig_1.1	438942	439670	-	729	1949
CLUG_00219	Supercontig_1.1	440575	443265	-	2691	3241
CLUG_00220	Supercontig_1.1	443009	444760	-	1752	924
CLUG_00221	Supercontig_1.1	446487	449246	+	2760	22732
CLUG_00222	Supercontig_1.1	446657	447508	-	852	5980
CLUG_00223	Supercontig_1.1	449478	450782	-	1305	32910
CLUG_00224	Supercontig_1.1	452139	453389	-	1251	1003
CLUG_00225	Supercontig_1.1	454245	455702	+	1458	1463
CLUG_00226	Supercontig_1.1	455880	456851	+	972	1800
CLUG_00227	Supercontig_1.1	457165	458709	+	1545	1956
CLUG_00228	Supercontig_1.1	459052	459537	+	486	666
CLUG_00229	Supercontig_1.1	459586	460182	-	597	2295
CLUG_00230	Supercontig_1.1	460293	462083	-	1791	2057
CLUG_00231	Supercontig_1.1	462145	462687	+	543	636
CLUG_00232	Supercontig_1.1	463143	463535	-	393	1042
CLUG_00233	Supercontig_1.1	464203	465207	-	1005	2454
CLUG_00234	Supercontig_1.1	466119	467933	-	1815	5712
CLUG_00235	Supercontig_1.1	469940	471283	+	1344	2704
CLUG_00236	Supercontig_1.1	469991	470791	-	801	639
CLUG_00237	Supercontig_1.1	470545	471027	-	483	851
CLUG_00238	Supercontig_1.1	471201	472376	+	1176	2942
CLUG_00239	Supercontig_1.1	472225	473172	+	948	4054
CLUG_00240	Supercontig_1.1	473181	474443	-	1263	1793
CLUG_00241	Supercontig_1.1	474858	475748	-	891	359
CLUG_00242	Supercontig_1.1	476801	478303	-	1503	176806
CLUG_00243	Supercontig_1.1	481208	481648	+	441	239
CLUG_00244	Supercontig_1.1	482299	483768	-	1470	3407
CLUG_00245	Supercontig_1.1	484446	485537	+	1092	1769
CLUG_00246	Supercontig_1.1	487122	488261	-	1140	4111
CLUG_00247	Supercontig_1.1	490035	491276	+	1242	947
CLUG_00248	Supercontig_1.1	491665	493323	+	1659	1796
CLUG_00249	Supercontig_1.1	494561	495916	-	1356	792
CLUG_00250	Supercontig_1.1	496331	497194	-	864	5110
CLUG_00251	Supercontig_1.1	497485	498942	+	1458	1101
CLUG_00252	Supercontig_1.1	499003	500058	-	1056	836
CLUG_00253	Supercontig_1.1	500122	502434	-	2313	1622
CLUG_00254	Supercontig_1.1	502819	503424	-	606	2383
CLUG_00255	Supercontig_1.1	503752	504939	+	1188	18
CLUG_00256	Supercontig_1.1	505194	506396	+	1203	1955
CLUG_00257	Supercontig_1.1	506423	507166	-	744	887
CLUG_00258	Supercontig_1.1	507716	509701	+	1986	2076
CLUG_00259	Supercontig_1.1	509924	511276	+	1353	990
CLUG_00260	Supercontig_1.1	511661	515485	+	3825	7019
CLUG_00261	Supercontig_1.1	515953	517836	+	1884	562
CLUG_00262	Supercontig_1.1	518092	519123	+	1032	506
CLUG_00263	Supercontig_1.1	520004	521815	-	1812	3614
CLUG_00264	Supercontig_1.1	522909	525350	+	2442	5228
CLUG_00265	Supercontig_1.1	525648	526526	-	879	417
CLUG_00266	Supercontig_1.1	527173	529434	+	2262	2184
CLUG_00267	Supercontig_1.1	529589	530884	-	1296	2257
CLUG_00268	Supercontig_1.1	531662	532117	+	456	7090
CLUG_00269	Supercontig_1.1	532104	534128	+	2025	2113
CLUG_00270	Supercontig_1.1	534181	535143	+	963	3562
CLUG_00271	Supercontig_1.1	535196	536515	-	1320	21381
CLUG_00272	Supercontig_1.1	537200	538075	+	876	959
CLUG_00273	Supercontig_1.1	538164	539036	-	873	6777
CLUG_00274	Supercontig_1.1	539780	540349	+	570	964
CLUG_00275	Supercontig_1.1	540542	541210	+	669	2752
CLUG_00276	Supercontig_1.1	540742	541572	-	831	3652
CLUG_00277	Supercontig_1.1	542289	544766	+	2478	6031
CLUG_00278	Supercontig_1.1	547075	548322	+	1248	74750
CLUG_00279	Supercontig_1.1	548530	549132	-	603	472
CLUG_00280	Supercontig_1.1	549445	550656	+	1212	1044
CLUG_00281	Supercontig_1.1	550710	553238	-	2529	1305
CLUG_00282	Supercontig_1.1	553791	555200	-	1410	7299
CLUG_00283	Supercontig_1.1	556869	558854	-	1986	3576
CLUG_00284	Supercontig_1.1	559741	560379	-	639	2671
CLUG_00285	Supercontig_1.1	560486	562183	-	1698	951
CLUG_00286	Supercontig_1.1	562526	563593	-	1068	42930
CLUG_00287	Supercontig_1.1	565044	567095	+	2052	7598
CLUG_00288	Supercontig_1.1	567254	568999	+	1746	1810
CLUG_00289	Supercontig_1.1	569087	570019	-	933	1159
CLUG_00290	Supercontig_1.1	570075	571079	-	1005	1204
CLUG_00291	Supercontig_1.1	572078	573100	+	1023	663
CLUG_00292	Supercontig_1.1	573550	574227	+	678	1044
CLUG_00293	Supercontig_1.1	574453	576690	+	2238	997
CLUG_00294	Supercontig_1.1	577236	577565	+	330	96
CLUG_00295	Supercontig_1.1	577877	578197	-	321	109704
CLUG_00296	Supercontig_1.1	579830	582631	-	2802	4916
CLUG_00297	Supercontig_1.1	583089	584006	-	918	59
CLUG_00298	Supercontig_1.1	584784	586319	+	1536	2310
CLUG_00299	Supercontig_1.1	586474	586908	-	435	1636
CLUG_00300	Supercontig_1.1	587726	589042	+	1317	1816
CLUG_00301	Supercontig_1.1	589384	590535	-	1152	1215
CLUG_00302	Supercontig_1.1	590728	592365	+	1638	5039
CLUG_00303	Supercontig_1.1	593700	594974	+	1275	5247
CLUG_00304	Supercontig_1.1	595266	597005	-	1740	938
CLUG_00305	Supercontig_1.1	598008	600170	-	2163	1294
CLUG_00306	Supercontig_1.1	601065	601526	+	462	68
CLUG_00307	Supercontig_1.1	601672	602358	+	687	1926
CLUG_00308	Supercontig_1.1	602643	603233	-	591	2262
CLUG_00309	Supercontig_1.1	603574	606087	-	2514	4167
CLUG_00310	Supercontig_1.1	606641	607216	+	576	5
CLUG_00311	Supercontig_1.1	607327	609615	+	2289	2442
CLUG_00312	Supercontig_1.1	610025	611173	-	1149	1573
CLUG_00313	Supercontig_1.1	612397	613911	-	1515	1219
CLUG_00314	Supercontig_1.1	616811	618907	+	2097	8508
CLUG_00315	Supercontig_1.1	620650	621789	+	1140	1649
CLUG_00316	Supercontig_1.1	621867	623528	-	1662	10840
CLUG_00317	Supercontig_1.1	624265	631167	-	6903	2429
CLUG_00318	Supercontig_1.1	632354	633676	+	1323	4168
CLUG_00319	Supercontig_1.1	634086	635291	-	1206	1996
CLUG_00320	Supercontig_1.1	635551	637884	+	2334	2985
CLUG_00321	Supercontig_1.1	638884	639708	+	825	3817
CLUG_00322	Supercontig_1.1	640251	641945	-	1695	726
CLUG_00323	Supercontig_1.1	642990	644783	-	1794	956
CLUG_00324	Supercontig_1.1	645758	647113	-	1356	6290
CLUG_00325	Supercontig_1.1	647827	648666	+	840	769
CLUG_00326	Supercontig_1.1	647926	648855	-	930	837
CLUG_00327	Supercontig_1.1	649140	652160	-	3021	1278
CLUG_00328	Supercontig_1.1	652363	654399	-	2037	406
CLUG_00329	Supercontig_1.1	654735	655187	+	453	650
CLUG_00330	Supercontig_1.1	655314	658691	-	3378	2839
CLUG_00331	Supercontig_1.1	659677	663540	-	3864	1568
CLUG_00332	Supercontig_1.1	664287	664919	+	633	997
CLUG_00333	Supercontig_1.1	665275	665967	-	693	980
CLUG_00334	Supercontig_1.1	667328	668287	+	960	257
CLUG_00335	Supercontig_1.1	668509	671400	+	2892	1196
CLUG_00336	Supercontig_1.1	671652	672215	+	564	391
CLUG_00337	Supercontig_1.1	673493	674152	+	660	1565
CLUG_00338	Supercontig_1.1	674203	675783	-	1581	2020
CLUG_00339	Supercontig_1.1	676445	678100	+	1656	1222
CLUG_00340	Supercontig_1.1	678183	678896	-	714	252
CLUG_00341	Supercontig_1.1	680113	681822	+	1710	31
CLUG_00342	Supercontig_1.1	682583	683449	+	867	3604
CLUG_00343	Supercontig_1.1	683898	685151	-	1254	756
CLUG_00344	Supercontig_1.1	685565	686815	+	1251	1148
CLUG_00345	Supercontig_1.1	686861	687490	-	630	5651
CLUG_00346	Supercontig_1.1	688087	690522	-	2436	1331
CLUG_00347	Supercontig_1.1	691857	694151	+	2295	1542
CLUG_00348	Supercontig_1.1	694187	695281	-	1095	847
CLUG_00349	Supercontig_1.1	695581	697263	+	1683	1892
CLUG_00350	Supercontig_1.1	697388	698983	-	1596	3755
CLUG_00351	Supercontig_1.1	699337	700359	+	1023	762
CLUG_00352	Supercontig_1.1	701669	703423	+	1755	566
CLUG_00353	Supercontig_1.1	704174	704758	+	585	3282
CLUG_00354	Supercontig_1.1	704879	705334	-	456	313
CLUG_00355	Supercontig_1.1	706583	707050	-	468	0
CLUG_00356	Supercontig_1.1	706603	707319	-	717	889
CLUG_00357	Supercontig_1.1	709109	711304	+	2196	1498
CLUG_00358	Supercontig_1.1	713916	714806	-	891	4961
CLUG_00359	Supercontig_1.1	713940	714866	+	927	3984
CLUG_00360	Supercontig_1.1	714697	715233	+	537	1083
CLUG_00361	Supercontig_1.1	717222	718220	+	999	22282
CLUG_00362	Supercontig_1.1	718693	719241	+	549	896
CLUG_00363	Supercontig_1.1	718720	719184	-	465	3287
CLUG_00364	Supercontig_1.1	718841	719323	+	483	0
CLUG_00365	Supercontig_1.1	719247	719741	+	495	428
CLUG_00366	Supercontig_1.1	720850	721512	-	663	3093
CLUG_00367	Supercontig_1.1	722638	725727	-	3090	6721
CLUG_00368	Supercontig_1.1	727279	728745	+	1467	1987
CLUG_00369	Supercontig_1.1	729189	730088	-	900	1355
CLUG_00370	Supercontig_1.1	730677	731747	+	1071	776
CLUG_00371	Supercontig_1.1	733025	733693	+	669	1502
CLUG_00372	Supercontig_1.1	734239	735087	-	849	2528
CLUG_00373	Supercontig_1.1	736842	740330	+	3489	1570
CLUG_00374	Supercontig_1.1	741059	742681	+	1623	1505
CLUG_00375	Supercontig_1.1	743232	743639	+	408	912
CLUG_00376	Supercontig_1.1	744308	745288	+	981	3160
CLUG_00377	Supercontig_1.1	744353	745264	-	912	3405
CLUG_00378	Supercontig_1.1	747072	748958	+	1887	642
CLUG_00379	Supercontig_1.1	749759	750394	-	636	2124
CLUG_00380	Supercontig_1.1	751358	752197	+	840	20168
CLUG_00381	Supercontig_1.1	751370	752293	-	924	22168
CLUG_00382	Supercontig_1.1	753181	754161	-	981	1177
CLUG_00383	Supercontig_1.1	755831	756814	-	984	120
CLUG_00384	Supercontig_1.1	757641	758975	+	1335	2042
CLUG_00385	Supercontig_1.1	759141	760334	-	1194	1680
CLUG_00386	Supercontig_1.1	761128	761637	+	510	5779
CLUG_00387	Supercontig_1.1	761739	764378	-	2640	2947
CLUG_00388	Supercontig_1.1	764823	765449	+	627	760
CLUG_00389	Supercontig_1.1	765577	767253	-	1677	1788
CLUG_00390	Supercontig_1.1	767974	769701	-	1728	4381
CLUG_00391	Supercontig_1.1	769889	773221	-	3333	772
CLUG_00392	Supercontig_1.1	773948	777334	-	3387	2494
CLUG_00393	Supercontig_1.1	778265	779308	-	1044	1782
CLUG_00394	Supercontig_1.1	780274	782598	+	2325	49714
CLUG_00395	Supercontig_1.1	780313	782616	-	2304	51983
CLUG_00396	Supercontig_1.1	784086	785192	-	1107	6402
CLUG_00397	Supercontig_1.1	787556	788431	-	876	50131
CLUG_00398	Supercontig_1.1	787613	788410	+	798	50763
CLUG_00399	Supercontig_1.1	788445	789254	+	810	53028
CLUG_00400	Supercontig_1.1	790032	791918	-	1887	3296
CLUG_00401	Supercontig_1.1	792068	793138	-	1071	24
CLUG_00402	Supercontig_1.1	793332	794918	-	1587	10
CLUG_00403	Supercontig_1.1	794885	797278	-	2394	16
CLUG_00404	Supercontig_1.1	798421	799779	+	1359	315
CLUG_00405	Supercontig_1.1	800822	801847	-	1026	177
CLUG_00406	Supercontig_1.1	800990	802114	+	1125	262
CLUG_00407	Supercontig_1.1	802312	802941	-	630	1424
CLUG_00408	Supercontig_1.1	803942	805243	-	1302	1364
CLUG_00409	Supercontig_1.1	805966	806706	-	741	1337
CLUG_00410	Supercontig_1.1	806318	806620	+	303	585
CLUG_00411	Supercontig_1.1	807342	807914	+	573	607
CLUG_00412	Supercontig_1.1	808328	811621	-	3294	5856
CLUG_00413	Supercontig_1.1	812427	813098	+	672	8
CLUG_00414	Supercontig_1.1	814098	815327	+	1230	0
CLUG_00415	Supercontig_1.1	816599	817912	+	1314	5213
CLUG_00416	Supercontig_1.1	818570	820975	-	2406	1111
CLUG_00417	Supercontig_1.1	822960	824525	+	1566	710
CLUG_00418	Supercontig_1.1	825460	826398	+	939	3435
CLUG_00419	Supercontig_1.1	827508	829151	+	1644	398264
CLUG_00420	Supercontig_1.1	830696	831748	+	1053	116178
CLUG_00421	Supercontig_1.1	834313	835590	+	1278	102628
CLUG_00422	Supercontig_1.1	836461	837735	+	1275	25191
CLUG_00423	Supercontig_1.1	839040	840701	+	1662	18356
CLUG_00424	Supercontig_1.1	841824	843407	-	1584	3860
CLUG_00425	Supercontig_1.1	843646	844113	+	468	125
CLUG_00426	Supercontig_1.1	844472	847534	-	3063	1177
CLUG_00427	Supercontig_1.1	848005	849303	-	1299	457
CLUG_00428	Supercontig_1.1	849592	850449	+	858	1571
CLUG_00429	Supercontig_1.1	851128	851775	-	648	842
CLUG_00430	Supercontig_1.1	852740	853738	+	999	3496
CLUG_00431	Supercontig_1.1	853909	857307	-	3399	9642
