# Program:featureCounts v1.6.0; Command:"featureCounts" "-g" "gene_id" "-T" "8" "-G" "genome/candida_lusitaniae_ATCC42720_w_CBS_6936_MT.fasta" "-s" "1" "-a" "genome/candida_lusitaniae_1_transcripts.gtf" "--tmpDir" "/scratch" "-o" "results/featureCounts/U10D.r1.gsnap_reads.tab" "-F" "GTF" "aln/U10D.r1.gsnap.bam" 
Geneid	Chr	Start	End	Strand	Length	aln/U10D.r1.gsnap.bam
CLUG_00040	Supercontig_1.1	77018	77572	+	555	156
CLUG_00041	Supercontig_1.1	77926	79305	+	1380	909
CLUG_00042	Supercontig_1.1	79518	80606	+	1089	541
CLUG_00043	Supercontig_1.1	80669	83119	-	2451	1045
CLUG_00044	Supercontig_1.1	83319	85826	-	2508	1177
CLUG_00045	Supercontig_1.1	86480	87139	+	660	346
CLUG_00046	Supercontig_1.1	87311	88528	+	1218	608
CLUG_00047	Supercontig_1.1	89098	90540	+	1443	5745
CLUG_00048	Supercontig_1.1;Supercontig_1.1	90642;91941	91842;91987	-;-	1248	6443
CLUG_00049	Supercontig_1.1	93538	95214	+	1677	5618
CLUG_00050	Supercontig_1.1	95331	96704	-	1374	1349
CLUG_00051	Supercontig_1.1	97038	98015	-	978	999
CLUG_00052	Supercontig_1.1	98258	102493	-	4236	2905
CLUG_00053	Supercontig_1.1	102696	104180	-	1485	1026
CLUG_00054	Supercontig_1.1	104304	105779	-	1476	1042
CLUG_00055	Supercontig_1.1	106314	107369	+	1056	5966
CLUG_00056	Supercontig_1.1	107653	109821	+	2169	794
CLUG_00057	Supercontig_1.1	110452	112080	+	1629	2081
CLUG_00058	Supercontig_1.1	112228	113157	-	930	1156
CLUG_00059	Supercontig_1.1	113380	114096	+	717	368
CLUG_00060	Supercontig_1.1	114559	115602	+	1044	1121
CLUG_00061	Supercontig_1.1	116880	117839	+	960	1016
CLUG_00062	Supercontig_1.1	118750	119919	+	1170	489
CLUG_00063	Supercontig_1.1	120278	123799	+	3522	2780
CLUG_00064	Supercontig_1.1	124132	125001	-	870	628
CLUG_00065	Supercontig_1.1	125255	126289	+	1035	350
CLUG_00066	Supercontig_1.1	126582	128840	-	2259	697
CLUG_00067	Supercontig_1.1	128909	129421	-	513	214
CLUG_00068	Supercontig_1.1	129984	131234	-	1251	278
CLUG_00069	Supercontig_1.1	132734	134023	+	1290	875
CLUG_00070	Supercontig_1.1	134173	134976	+	804	254
CLUG_00071	Supercontig_1.1	135107	136420	+	1314	947
CLUG_00072	Supercontig_1.1	136494	138644	-	2151	7437
CLUG_00073	Supercontig_1.1	140487	144779	-	4293	7176
CLUG_00074	Supercontig_1.1	145275	146633	-	1359	4661
CLUG_00075	Supercontig_1.1	147130	148119	-	990	5116
CLUG_00076	Supercontig_1.1	148071	148763	-	693	2881
CLUG_00077	Supercontig_1.1	150607	152544	+	1938	5679
CLUG_00078	Supercontig_1.1	153833	154918	+	1086	7518
CLUG_00079	Supercontig_1.1	155064	155483	-	420	247
CLUG_00080	Supercontig_1.1	155917	157935	+	2019	2392
CLUG_00081	Supercontig_1.1	157970	159511	-	1542	1826
CLUG_00082	Supercontig_1.1	159707	161170	-	1464	1828
CLUG_00083	Supercontig_1.1	161919	163499	+	1581	1621
CLUG_00084	Supercontig_1.1	163680	164471	+	792	406
CLUG_00085	Supercontig_1.1	164579	165301	-	723	1146
CLUG_00086	Supercontig_1.1	165317	166945	-	1629	12163
CLUG_00087	Supercontig_1.1	167980	169956	-	1977	1035
CLUG_00088	Supercontig_1.1	170176	173421	-	3246	1020
CLUG_00089	Supercontig_1.1	173775	175991	+	2217	626
CLUG_00090	Supercontig_1.1	176125	177135	-	1011	3665
CLUG_00091	Supercontig_1.1	178140	179099	-	960	368
CLUG_00092	Supercontig_1.1	179594	180043	+	450	1355
CLUG_00093	Supercontig_1.1	180843	182039	+	1197	2778
CLUG_00094	Supercontig_1.1	182979	183533	+	555	1737
CLUG_00095	Supercontig_1.1	184149	185657	+	1509	1793
CLUG_00096	Supercontig_1.1	185706	186737	-	1032	917
CLUG_00097	Supercontig_1.1	187035	189725	-	2691	3290
CLUG_00098	Supercontig_1.1	190594	191991	-	1398	993
CLUG_00099	Supercontig_1.1	192896	194734	+	1839	5040
CLUG_00100	Supercontig_1.1	195003	195854	-	852	206
CLUG_00101	Supercontig_1.1	196468	197757	-	1290	808
CLUG_00102	Supercontig_1.1	198246	198767	+	522	1329
CLUG_00103	Supercontig_1.1	200067	200873	+	807	1130
CLUG_00104	Supercontig_1.1	200940	201509	-	570	410
CLUG_00105	Supercontig_1.1	203136	204797	+	1662	580
CLUG_00106	Supercontig_1.1	205480	208425	+	2946	868
CLUG_00107	Supercontig_1.1	208472	209161	-	690	451
CLUG_00108	Supercontig_1.1	209527	210027	-	501	262
CLUG_00109	Supercontig_1.1	210910	212751	-	1842	50
CLUG_00110	Supercontig_1.1	213068	213562	+	495	610
CLUG_00111	Supercontig_1.1	213572	215308	-	1737	1311
CLUG_00112	Supercontig_1.1	218337	218957	-	621	3225
CLUG_00113	Supercontig_1.1	219483	220376	-	894	1443
CLUG_00114	Supercontig_1.1	220901	221587	+	687	3719
CLUG_00115	Supercontig_1.1	220922	221587	-	666	3330
CLUG_00116	Supercontig_1.1	222258	225437	+	3180	1357
CLUG_00117	Supercontig_1.1	225983	228367	-	2385	2352
CLUG_00118	Supercontig_1.1	228655	230724	-	2070	2438
CLUG_00119	Supercontig_1.1	231288	232178	+	891	379
CLUG_00120	Supercontig_1.1	232513	233979	+	1467	1798
CLUG_00121	Supercontig_1.1	234184	236247	-	2064	1975
CLUG_00122	Supercontig_1.1	236768	237784	-	1017	1757
CLUG_00123	Supercontig_1.1	238263	239360	-	1098	32616
CLUG_00124	Supercontig_1.1	241828	244869	+	3042	5231
CLUG_00125	Supercontig_1.1	244995	245465	-	471	435
CLUG_00126	Supercontig_1.1	245577	246428	+	852	527
CLUG_00127	Supercontig_1.1	246558	247358	-	801	609
CLUG_00128	Supercontig_1.1	247433	248101	+	669	130
CLUG_00129	Supercontig_1.1	248448	249200	+	753	540
CLUG_00130	Supercontig_1.1	249616	250155	-	540	1250
CLUG_00131	Supercontig_1.1	250662	253643	+	2982	1154
CLUG_00132	Supercontig_1.1	253870	254721	+	852	630
CLUG_00133	Supercontig_1.1	254840	255403	+	564	454
CLUG_00134	Supercontig_1.1	256301	257464	-	1164	3261
CLUG_00135	Supercontig_1.1	257911	261987	-	4077	971
CLUG_00136	Supercontig_1.1	262184	263068	-	885	253
CLUG_00137	Supercontig_1.1	263192	264289	-	1098	7072
CLUG_00138	Supercontig_1.1	265160	266776	+	1617	2651
CLUG_00139	Supercontig_1.1	268882	270564	+	1683	3124
CLUG_00140	Supercontig_1.1	270764	271351	+	588	4317
CLUG_00141	Supercontig_1.1	271378	273213	-	1836	2209
CLUG_00142	Supercontig_1.1	273503	276331	+	2829	997
CLUG_00143	Supercontig_1.1	276397	279642	+	3246	707
CLUG_00144	Supercontig_1.1	279763	281226	+	1464	1276
CLUG_00145	Supercontig_1.1	281556	282338	+	783	1001
CLUG_00146	Supercontig_1.1	282498	282935	-	438	190
CLUG_00147	Supercontig_1.1	283043	284203	+	1161	432
CLUG_00148	Supercontig_1.1	284825	285040	+	216	2308
CLUG_00149	Supercontig_1.1	286408	289902	+	3495	4030
CLUG_00150	Supercontig_1.1	289934	290362	-	429	406
CLUG_00151	Supercontig_1.1	291662	292117	-	456	21384
CLUG_00152	Supercontig_1.1	291858	292736	+	879	52601
CLUG_00153	Supercontig_1.1	292811	293890	+	1080	1416
CLUG_00154	Supercontig_1.1	294331	295437	-	1107	501
CLUG_00155	Supercontig_1.1	296001	297074	+	1074	1199
CLUG_00156	Supercontig_1.1	297199	299322	-	2124	541
CLUG_00157	Supercontig_1.1	299898	300494	-	597	5354
CLUG_00158	Supercontig_1.1	300898	302001	-	1104	1479
CLUG_00159	Supercontig_1.1	302640	302984	-	345	1278
CLUG_00160	Supercontig_1.1	303147	308459	-	5313	4797
CLUG_00161	Supercontig_1.1	309090	309344	-	255	163
CLUG_00162	Supercontig_1.1	309763	311703	-	1941	888
CLUG_00163	Supercontig_1.1	312946	314676	+	1731	2033
CLUG_00164	Supercontig_1.1	315320	317425	+	2106	740
CLUG_00165	Supercontig_1.1	317672	320599	+	2928	1168
CLUG_00166	Supercontig_1.1	321399	324881	+	3483	5431
CLUG_00167	Supercontig_1.1	325196	325618	+	423	398
CLUG_00168	Supercontig_1.1	326287	327861	+	1575	1712
CLUG_00169	Supercontig_1.1	328836	329915	+	1080	1477
CLUG_00170	Supercontig_1.1	331505	333535	+	2031	23087
CLUG_00171	Supercontig_1.1	333938	334984	-	1047	28380
CLUG_00172	Supercontig_1.1	337926	339587	-	1662	698
CLUG_00173	Supercontig_1.1	339667	340134	-	468	215
CLUG_00174	Supercontig_1.1	340228	341355	+	1128	716
CLUG_00175	Supercontig_1.1	341445	342698	+	1254	886
CLUG_00176	Supercontig_1.1	344260	345711	-	1452	38821
CLUG_00177	Supercontig_1.1	347815	349350	+	1536	8761
CLUG_00178	Supercontig_1.1	350485	351861	+	1377	29311
CLUG_00179	Supercontig_1.1	352779	355868	+	3090	26755
CLUG_00180	Supercontig_1.1	357124	358230	+	1107	1094
CLUG_00181	Supercontig_1.1	359036	359938	+	903	657
CLUG_00182	Supercontig_1.1	361174	361605	+	432	212
CLUG_00183	Supercontig_1.1	362173	364440	-	2268	4000
CLUG_00184	Supercontig_1.1	365541	366821	-	1281	634
CLUG_00185	Supercontig_1.1	368136	369476	+	1341	395
CLUG_00186	Supercontig_1.1	370242	370898	+	657	477
CLUG_00187	Supercontig_1.1	371174	371827	-	654	1057
CLUG_00188	Supercontig_1.1	371453	371992	+	540	527
CLUG_00189	Supercontig_1.1	372603	373259	+	657	1473
CLUG_00190	Supercontig_1.1	373720	374346	-	627	495
CLUG_00191	Supercontig_1.1	376794	377327	+	534	2188
CLUG_00192	Supercontig_1.1	377513	379465	-	1953	1241
CLUG_00193	Supercontig_1.1	380451	381893	-	1443	1043
CLUG_00194	Supercontig_1.1	381973	383442	-	1470	104
CLUG_00195	Supercontig_1.1	385283	387031	+	1749	1678
CLUG_00196	Supercontig_1.1	388135	392499	-	4365	3139
CLUG_00197	Supercontig_1.1	392591	396217	-	3627	1441
CLUG_00198	Supercontig_1.1	396992	397672	+	681	358
CLUG_00199	Supercontig_1.1	398138	398845	-	708	28253
CLUG_00200	Supercontig_1.1	399222	399776	+	555	16
CLUG_00201	Supercontig_1.1	400899	405125	+	4227	1163
CLUG_00202	Supercontig_1.1	405611	406066	+	456	1218
CLUG_00203	Supercontig_1.1	407123	408253	+	1131	8848
CLUG_00204	Supercontig_1.1	408955	409992	+	1038	12429
CLUG_00205	Supercontig_1.1	410755	412602	+	1848	2363
CLUG_00206	Supercontig_1.1	412791	413579	+	789	2996
CLUG_00207	Supercontig_1.1	414569	416347	+	1779	2019
CLUG_00208	Supercontig_1.1	418924	420453	+	1530	5360
CLUG_00209	Supercontig_1.1	421327	422364	+	1038	2595
CLUG_00210	Supercontig_1.1	423401	425182	+	1782	1632
CLUG_00211	Supercontig_1.1	425533	427863	+	2331	2376
CLUG_00212	Supercontig_1.1	428212	429516	+	1305	2787
CLUG_00213	Supercontig_1.1	430078	431499	+	1422	897
CLUG_00214	Supercontig_1.1	431640	433583	+	1944	1013
CLUG_00215	Supercontig_1.1	434218	435630	+	1413	1876
CLUG_00216	Supercontig_1.1	436585	437484	-	900	759
CLUG_00217	Supercontig_1.1	437704	438393	-	690	995
CLUG_00218	Supercontig_1.1	438942	439670	-	729	6899
CLUG_00219	Supercontig_1.1	440575	443265	-	2691	1499
CLUG_00220	Supercontig_1.1	443009	444760	-	1752	431
CLUG_00221	Supercontig_1.1	446487	449246	+	2760	17139
CLUG_00222	Supercontig_1.1	446657	447508	-	852	4716
CLUG_00223	Supercontig_1.1	449478	450782	-	1305	32532
CLUG_00224	Supercontig_1.1	452139	453389	-	1251	684
CLUG_00225	Supercontig_1.1	454245	455702	+	1458	950
CLUG_00226	Supercontig_1.1	455880	456851	+	972	866
CLUG_00227	Supercontig_1.1	457165	458709	+	1545	1156
CLUG_00228	Supercontig_1.1	459052	459537	+	486	323
CLUG_00229	Supercontig_1.1	459586	460182	-	597	1350
CLUG_00230	Supercontig_1.1	460293	462083	-	1791	969
CLUG_00231	Supercontig_1.1	462145	462687	+	543	364
CLUG_00232	Supercontig_1.1	463143	463535	-	393	521
CLUG_00233	Supercontig_1.1	464203	465207	-	1005	1320
CLUG_00234	Supercontig_1.1	466119	467933	-	1815	5544
CLUG_00235	Supercontig_1.1	469940	471283	+	1344	1608
CLUG_00236	Supercontig_1.1	469991	470791	-	801	398
CLUG_00237	Supercontig_1.1	470545	471027	-	483	496
CLUG_00238	Supercontig_1.1	471201	472376	+	1176	1976
CLUG_00239	Supercontig_1.1	472225	473172	+	948	2734
CLUG_00240	Supercontig_1.1	473181	474443	-	1263	1527
CLUG_00241	Supercontig_1.1	474858	475748	-	891	421
CLUG_00242	Supercontig_1.1	476801	478303	-	1503	88479
CLUG_00243	Supercontig_1.1	481208	481648	+	441	130
CLUG_00244	Supercontig_1.1	482299	483768	-	1470	1055
CLUG_00245	Supercontig_1.1	484446	485537	+	1092	741
CLUG_00246	Supercontig_1.1	487122	488261	-	1140	2181
CLUG_00247	Supercontig_1.1	490035	491276	+	1242	48
CLUG_00248	Supercontig_1.1	491665	493323	+	1659	960
CLUG_00249	Supercontig_1.1	494561	495916	-	1356	548
CLUG_00250	Supercontig_1.1	496331	497194	-	864	2915
CLUG_00251	Supercontig_1.1	497485	498942	+	1458	556
CLUG_00252	Supercontig_1.1	499003	500058	-	1056	491
CLUG_00253	Supercontig_1.1	500122	502434	-	2313	764
CLUG_00254	Supercontig_1.1	502819	503424	-	606	1341
CLUG_00255	Supercontig_1.1	503752	504939	+	1188	36
CLUG_00256	Supercontig_1.1	505194	506396	+	1203	2862
CLUG_00257	Supercontig_1.1	506423	507166	-	744	523
CLUG_00258	Supercontig_1.1	507716	509701	+	1986	698
CLUG_00259	Supercontig_1.1	509924	511276	+	1353	445
CLUG_00260	Supercontig_1.1	511661	515485	+	3825	3481
CLUG_00261	Supercontig_1.1	515953	517836	+	1884	200
CLUG_00262	Supercontig_1.1	518092	519123	+	1032	201
CLUG_00263	Supercontig_1.1	520004	521815	-	1812	2288
CLUG_00264	Supercontig_1.1	522909	525350	+	2442	4016
CLUG_00265	Supercontig_1.1	525648	526526	-	879	420
CLUG_00266	Supercontig_1.1	527173	529434	+	2262	1469
CLUG_00267	Supercontig_1.1	529589	530884	-	1296	1133
CLUG_00268	Supercontig_1.1	531662	532117	+	456	4165
CLUG_00269	Supercontig_1.1	532104	534128	+	2025	966
CLUG_00270	Supercontig_1.1	534181	535143	+	963	2201
CLUG_00271	Supercontig_1.1	535196	536515	-	1320	13742
CLUG_00272	Supercontig_1.1	537200	538075	+	876	571
CLUG_00273	Supercontig_1.1	538164	539036	-	873	4247
CLUG_00274	Supercontig_1.1	539780	540349	+	570	549
CLUG_00275	Supercontig_1.1	540542	541210	+	669	2708
CLUG_00276	Supercontig_1.1	540742	541572	-	831	3580
CLUG_00277	Supercontig_1.1	542289	544766	+	2478	4025
CLUG_00278	Supercontig_1.1	547075	548322	+	1248	48143
CLUG_00279	Supercontig_1.1	548530	549132	-	603	241
CLUG_00280	Supercontig_1.1	549445	550656	+	1212	616
CLUG_00281	Supercontig_1.1	550710	553238	-	2529	517
CLUG_00282	Supercontig_1.1	553791	555200	-	1410	4826
CLUG_00283	Supercontig_1.1	556869	558854	-	1986	1995
CLUG_00284	Supercontig_1.1	559741	560379	-	639	1226
CLUG_00285	Supercontig_1.1	560486	562183	-	1698	794
CLUG_00286	Supercontig_1.1	562526	563593	-	1068	37327
CLUG_00287	Supercontig_1.1	565044	567095	+	2052	9113
CLUG_00288	Supercontig_1.1	567254	568999	+	1746	1275
CLUG_00289	Supercontig_1.1	569087	570019	-	933	621
CLUG_00290	Supercontig_1.1	570075	571079	-	1005	515
CLUG_00291	Supercontig_1.1	572078	573100	+	1023	323
CLUG_00292	Supercontig_1.1	573550	574227	+	678	494
CLUG_00293	Supercontig_1.1	574453	576690	+	2238	521
CLUG_00294	Supercontig_1.1	577236	577565	+	330	39
CLUG_00295	Supercontig_1.1	577877	578197	-	321	75329
CLUG_00296	Supercontig_1.1	579830	582631	-	2802	2883
CLUG_00297	Supercontig_1.1	583089	584006	-	918	33
CLUG_00298	Supercontig_1.1	584784	586319	+	1536	1062
CLUG_00299	Supercontig_1.1	586474	586908	-	435	369
CLUG_00300	Supercontig_1.1	587726	589042	+	1317	964
CLUG_00301	Supercontig_1.1	589384	590535	-	1152	806
CLUG_00302	Supercontig_1.1	590728	592365	+	1638	3986
CLUG_00303	Supercontig_1.1	593700	594974	+	1275	2928
CLUG_00304	Supercontig_1.1	595266	597005	-	1740	756
CLUG_00305	Supercontig_1.1	598008	600170	-	2163	1112
CLUG_00306	Supercontig_1.1	601065	601526	+	462	43
CLUG_00307	Supercontig_1.1	601672	602358	+	687	1285
CLUG_00308	Supercontig_1.1	602643	603233	-	591	1431
CLUG_00309	Supercontig_1.1	603574	606087	-	2514	2851
CLUG_00310	Supercontig_1.1	606641	607216	+	576	2
CLUG_00311	Supercontig_1.1	607327	609615	+	2289	1305
CLUG_00312	Supercontig_1.1	610025	611173	-	1149	817
CLUG_00313	Supercontig_1.1	612397	613911	-	1515	773
CLUG_00314	Supercontig_1.1	616811	618907	+	2097	5186
CLUG_00315	Supercontig_1.1	620650	621789	+	1140	969
CLUG_00316	Supercontig_1.1	621867	623528	-	1662	4609
CLUG_00317	Supercontig_1.1	624265	631167	-	6903	1511
CLUG_00318	Supercontig_1.1	632354	633676	+	1323	2329
CLUG_00319	Supercontig_1.1	634086	635291	-	1206	941
CLUG_00320	Supercontig_1.1	635551	637884	+	2334	1550
CLUG_00321	Supercontig_1.1	638884	639708	+	825	3587
CLUG_00322	Supercontig_1.1	640251	641945	-	1695	395
CLUG_00323	Supercontig_1.1	642990	644783	-	1794	440
CLUG_00324	Supercontig_1.1	645758	647113	-	1356	2817
CLUG_00325	Supercontig_1.1	647827	648666	+	840	517
CLUG_00326	Supercontig_1.1	647926	648855	-	930	548
CLUG_00327	Supercontig_1.1	649140	652160	-	3021	572
CLUG_00328	Supercontig_1.1	652363	654399	-	2037	184
CLUG_00329	Supercontig_1.1	654735	655187	+	453	379
CLUG_00330	Supercontig_1.1	655314	658691	-	3378	1179
CLUG_00331	Supercontig_1.1	659677	663540	-	3864	781
CLUG_00332	Supercontig_1.1	664287	664919	+	633	896
CLUG_00333	Supercontig_1.1	665275	665967	-	693	439
CLUG_00334	Supercontig_1.1	667328	668287	+	960	128
CLUG_00335	Supercontig_1.1	668509	671400	+	2892	497
CLUG_00336	Supercontig_1.1	671652	672215	+	564	151
CLUG_00337	Supercontig_1.1	673493	674152	+	660	796
CLUG_00338	Supercontig_1.1	674203	675783	-	1581	1099
CLUG_00339	Supercontig_1.1	676445	678100	+	1656	585
CLUG_00340	Supercontig_1.1	678183	678896	-	714	112
CLUG_00341	Supercontig_1.1	680113	681822	+	1710	15
CLUG_00342	Supercontig_1.1	682583	683449	+	867	1832
CLUG_00343	Supercontig_1.1	683898	685151	-	1254	348
CLUG_00344	Supercontig_1.1	685565	686815	+	1251	570
CLUG_00345	Supercontig_1.1	686861	687490	-	630	3692
CLUG_00346	Supercontig_1.1	688087	690522	-	2436	605
CLUG_00347	Supercontig_1.1	691857	694151	+	2295	733
CLUG_00348	Supercontig_1.1	694187	695281	-	1095	360
CLUG_00349	Supercontig_1.1	695581	697263	+	1683	1138
CLUG_00350	Supercontig_1.1	697388	698983	-	1596	2494
CLUG_00351	Supercontig_1.1	699337	700359	+	1023	530
CLUG_00352	Supercontig_1.1	701669	703423	+	1755	559
CLUG_00353	Supercontig_1.1	704174	704758	+	585	2820
CLUG_00354	Supercontig_1.1	704879	705334	-	456	145
CLUG_00355	Supercontig_1.1	706583	707050	-	468	2
CLUG_00356	Supercontig_1.1	706603	707319	-	717	733
CLUG_00357	Supercontig_1.1	709109	711304	+	2196	1207
CLUG_00358	Supercontig_1.1	713916	714806	-	891	4503
CLUG_00359	Supercontig_1.1	713940	714866	+	927	3595
CLUG_00360	Supercontig_1.1	714697	715233	+	537	1281
CLUG_00361	Supercontig_1.1	717222	718220	+	999	19892
CLUG_00362	Supercontig_1.1	718693	719241	+	549	472
CLUG_00363	Supercontig_1.1	718720	719184	-	465	1735
CLUG_00364	Supercontig_1.1	718841	719323	+	483	0
CLUG_00365	Supercontig_1.1	719247	719741	+	495	185
CLUG_00366	Supercontig_1.1	720850	721512	-	663	1831
CLUG_00367	Supercontig_1.1	722638	725727	-	3090	3807
CLUG_00368	Supercontig_1.1	727279	728745	+	1467	986
CLUG_00369	Supercontig_1.1	729189	730088	-	900	780
CLUG_00370	Supercontig_1.1	730677	731747	+	1071	695
CLUG_00371	Supercontig_1.1	733025	733693	+	669	907
CLUG_00372	Supercontig_1.1	734239	735087	-	849	500
CLUG_00373	Supercontig_1.1	736842	740330	+	3489	845
CLUG_00374	Supercontig_1.1	741059	742681	+	1623	1353
CLUG_00375	Supercontig_1.1	743232	743639	+	408	518
CLUG_00376	Supercontig_1.1	744308	745288	+	981	1584
CLUG_00377	Supercontig_1.1	744353	745264	-	912	1714
CLUG_00378	Supercontig_1.1	747072	748958	+	1887	460
CLUG_00379	Supercontig_1.1	749759	750394	-	636	1577
CLUG_00380	Supercontig_1.1	751358	752197	+	840	23317
CLUG_00381	Supercontig_1.1	751370	752293	-	924	25063
CLUG_00382	Supercontig_1.1	753181	754161	-	981	658
CLUG_00383	Supercontig_1.1	755831	756814	-	984	105
CLUG_00384	Supercontig_1.1	757641	758975	+	1335	1545
CLUG_00385	Supercontig_1.1	759141	760334	-	1194	1097
CLUG_00386	Supercontig_1.1	761128	761637	+	510	3874
CLUG_00387	Supercontig_1.1	761739	764378	-	2640	1700
CLUG_00388	Supercontig_1.1	764823	765449	+	627	458
CLUG_00389	Supercontig_1.1	765577	767253	-	1677	1281
CLUG_00390	Supercontig_1.1	767974	769701	-	1728	4741
CLUG_00391	Supercontig_1.1	769889	773221	-	3333	198
CLUG_00392	Supercontig_1.1	773948	777334	-	3387	1767
CLUG_00393	Supercontig_1.1	778265	779308	-	1044	1061
CLUG_00394	Supercontig_1.1	780274	782598	+	2325	78157
CLUG_00395	Supercontig_1.1	780313	782616	-	2304	84336
CLUG_00396	Supercontig_1.1	784086	785192	-	1107	4810
CLUG_00397	Supercontig_1.1	787556	788431	-	876	24313
CLUG_00398	Supercontig_1.1	787613	788410	+	798	24691
CLUG_00399	Supercontig_1.1	788445	789254	+	810	23612
CLUG_00400	Supercontig_1.1	790032	791918	-	1887	2283
CLUG_00401	Supercontig_1.1	792068	793138	-	1071	14
CLUG_00402	Supercontig_1.1	793332	794918	-	1587	9
CLUG_00403	Supercontig_1.1	794885	797278	-	2394	19
CLUG_00404	Supercontig_1.1	798421	799779	+	1359	191
CLUG_00405	Supercontig_1.1	800822	801847	-	1026	51
CLUG_00406	Supercontig_1.1	800990	802114	+	1125	83
CLUG_00407	Supercontig_1.1	802312	802941	-	630	1055
CLUG_00408	Supercontig_1.1	803942	805243	-	1302	787
CLUG_00409	Supercontig_1.1	805966	806706	-	741	787
CLUG_00410	Supercontig_1.1	806318	806620	+	303	277
CLUG_00411	Supercontig_1.1	807342	807914	+	573	296
CLUG_00412	Supercontig_1.1	808328	811621	-	3294	3033
CLUG_00413	Supercontig_1.1	812427	813098	+	672	4
CLUG_00414	Supercontig_1.1	814098	815327	+	1230	0
CLUG_00415	Supercontig_1.1	816599	817912	+	1314	3522
CLUG_00416	Supercontig_1.1	818570	820975	-	2406	739
CLUG_00417	Supercontig_1.1	822960	824525	+	1566	936
CLUG_00418	Supercontig_1.1	825460	826398	+	939	2957
CLUG_00419	Supercontig_1.1	827508	829151	+	1644	563678
CLUG_00420	Supercontig_1.1	830696	831748	+	1053	146765
CLUG_00421	Supercontig_1.1	834313	835590	+	1278	147969
CLUG_00422	Supercontig_1.1	836461	837735	+	1275	26673
CLUG_00423	Supercontig_1.1	839040	840701	+	1662	16375
CLUG_00424	Supercontig_1.1	841824	843407	-	1584	2196
CLUG_00425	Supercontig_1.1	843646	844113	+	468	58
CLUG_00426	Supercontig_1.1	844472	847534	-	3063	719
CLUG_00427	Supercontig_1.1	848005	849303	-	1299	254
CLUG_00428	Supercontig_1.1	849592	850449	+	858	793
CLUG_00429	Supercontig_1.1	851128	851775	-	648	353
CLUG_00430	Supercontig_1.1	852740	853738	+	999	2528
CLUG_00431	Supercontig_1.1	853909	857307	-	3399	13515
CLUG_00432	Supercontig_1.1	858373	858939	+	567	208
CLUG_00433	Supercontig_1.1	859545	862304	-	2760	1385
