"","L1B.r1","L1B.r2","L1B_benomyl.r1","L1B_benomyl.r2","L4C.r1","L4C.r2","L4C_benomyl.r1","L4C_benomyl.r2","U10D.r1","U10D.r2","U10D_benomyl.r1","U10D_benomyl.r2","U3B.r1","U3B.r2","U3B_benomyl.r1","U3B_benomyl.r2","U3E.r1","U3E.r2","U3E_benomyl.r1","U3E_benomyl.r2","U5C.r1","U5C.r2","U5C_benomyl.r1","U5C_benomyl.r2"
"CLUG_00128T0",232,173,95,130,369,385,187,231,168,293,125,139,425,398,548,433,333,325,62,62,377,365,292,355
"CLUG_00129T0",756,1347,298,439,3273,1584,562,632,654,2010,576,960,3336,6294,629,527,3406,3999,1248,2833,3175,3334,1575,3259
"CLUG_00130T0",1671,978,1510,1869,2703,2404,2352,1760,1338,1796,2667,3451,4320,5448,3115,2314,2768,2783,4218,5846,2685,2691,6080,6857
"CLUG_00131T0",1458.59552524762,1103.81068811408,1717.02159684033,1453.53793958241,4675.07052818146,5067.07372375914,2360.52390868564,3755.77711328388,2098.6100768434,3032.11484571622,1281.93565900273,1808.62175889472,3091.5203536086,2725.26104741815,5675.06802323382,6834.52807918941,3277.30729443563,2440.75121477673,1289.48155217294,2577.97958314789,3259.6539599213,2775.66485318235,3529.23914252144,4848.26796919111
"CLUG_00132T0",583,324,245,199,1320,1269,517,763,687,866,221,377,964,835,1108,957,1089,800,343,645,1001,838,747,1054
"CLUG_00133T0",395,291,315,300,737,870,826,960,425,546,327,537,635,473,2046,1616,646,426,256,612,666,538,694,897
"CLUG_00134T0",4627,4141,5372,6446,6214,5870,6002,7515,4625,5700,5170,6708,6171,5176,12904,14643,5557,5834,3975,4910,6385,6535,6422,8935
"CLUG_00135T0",1678,1409,16379,17650,4738,4403,32347,40394,1837,2832,13120,24503,4103,3866,56515,64813,3979,3202,7469,8038,3924,3408,31395,36151
"CLUG_00136T0",464,318,9549,13253,499,637,16338,18832,400,416,8401,14772,549,452,22179,27477,565,504,4789,5311,455,557,12518,11061
"CLUG_00137T0",7810,4742,70977,90142,7863,9753,77926,76933,10886,7272,67898,78493,14065,14676,52227,70763,10692,13844,72755,68771,9865,11554,91878,92399
"CLUG_00138T0",4250,2659,2625,3212,7209,7036,6538,7294,4499,5331,3542,4334,6583,5919,7289,7882,5775,5159,5523,6410,5118,4566,4522,5256
"CLUG_00139T0",3771,4371,363,363,5141,5543,795,789,5364,5516,409,458,6078,5442,667,730,5292,4439,453,437,5409,6017,535,583
"CLUG_00140T0",3223,2700,529,803,4235,4325,731,658,4089,4692,1135,1173,2938,1684,268,261,3401,2924,1111,1252,4023,3256,779,590
"CLUG_00141T0",1806,1427,1016,1417,3213,3458,2402,3608,2099,2599,1583,2866,2968,2733,1768,1659,2853,2409,2188,3175,3017,2978,6299,5937
"CLUG_00142T0",1764,1255,720,966,2863,4056,1195,2371,1852,3033,1305,2848,3584,4137,853,1170,3879,3611,2188,3613,4378,4541,5539,5160
"CLUG_00143T0",861,919,308,364,2533,2668,372,1041,1309,1720,402,581,1601,1682,948,1095,2122,1620,438,605,1873,1746,1230,1316
"CLUG_00144T0",1939,1521,374,510,4398,3932,1130,1315,2041,2932,485,815,3589,3048,1161,1110,3223,2412,604,1036,3284,3096,1241,1383
"CLUG_00145T0",1360,1672,236,267,2074,2212,452,362,1320,1762,250,290,2406,1726,453,521,1972,1684,344,455,2235,2352,380,366
"CLUG_00146T0",205,101,36,42,259,239,40,27,161,188,31,23,230,185,16,55,228,165,59,54,231,194,54,45
"CLUG_00147T0",658,347,50,85,1206,1141,102,120,638,879,86,63,844,762,226,189,798,740,31,51,952,716,71,99
"CLUG_00148T0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLUG_00149T0",6574,8064,328,387,10917,10145,536,662,7260,8849,516,401,7570,6282,810,860,8601,6841,701,792,8304,6797,282,268
"CLUG_00150T0",190,452,17,16,489,266,14,29,200,333,8,5,387,510,23,45,382,314,12,10,526,488,12,6
"CLUG_00151T0",28266,40067,4563,4917,23240,18978,2979,2293,16017,16766,4420,3634,19576.2995662472,17644,556,1130,20990,18119,14945,9665,27462,20573.3001986263,5500,3606
"CLUG_00152T0",122272,186970,20279,21391,108337,90159,19139,12115,72321,78637,21658,17690,88389.7004337528,69377,3404,5123,101372,76247,64516,48768,124019,93229.6998013737,26554,16318
"CLUG_00153T0",2305,1978,756,939,3779,3280,858,1034,2212,2941,1074,1406,4096,4288,438,430,3387,3349,2481,2865,3576,3465,1804,1669
"CLUG_00154T0",592,461,130,171,1470,1496,123,210,761,975,242,253,1443,1119,131,131,1377,984,437,541,1424,1243,417,339
"CLUG_00155T0",2137,1664,1157,1504,3998,3873,1504,1494,1922,2610,1902,2427,3957,3645,544,517,3235,2970,3003,3950,3616,3461,4503,4649
"CLUG_00156T0",727,272,659,727,1144,1216,635,744,886,1136,250,343,542,755,2080,2218,1160,1433,275,326,600,925,376,239
"CLUG_00157T0",20067,23182,15291,18171,1548,1630,16419,10155,6987,6192,7949,8291,5621,7478,24403,19632,4046,2963,17181,19035,6078,6542,11292,10534
"CLUG_00158T0",2659,3230,8808,9594,3390,3136,14073,9755,2283,3010,8523,8555,4089,3666,17222,16599,3524,2846,6875,8042,4876,4554,8443,8655
"CLUG_00159T0",893,769,930,1102,1329,1175,1739,1489,681,978,1107,1706,2048,2854,1963,1156,1543,1665,1813,2840,1798,1725,2602,3270
"CLUG_00160T0",7346,6237,3342,4332,14547,16614,9033,15388,9235,11891,3694,5594,9580,8620,9034,10150,10252,7890,9206,10566,9516,8836,11032,10476
"CLUG_00161T0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLUG_00162T0",1312,810,614,788,2005,2468,839,2085,1407,1617,558,842,1746,1607,1498,2102,1963,1718,977,1121,1784,1999,1521,1570
"CLUG_00163T0",4437,2123,37911.992927966,45489.9920639559,3641,4709,52749.9961465672,53645.9846194354,3340.77578516927,3903.7205204717,37427.9904548359,45381.9948819569,15263.7052068341,19349.8597645004,28372,28536.9761949514,4650,4741,41799.9860078199,39727.9907530243,23290.9350939099,31508.7769581148,84509.9710223335,84321.9718214028
"CLUG_00164T0",1115,776,748,815,2170,2093,2447,2168,1375,1677,874,1314,1425,1107,1714,1823,1599,1514,1069,1517,1471,1409,1789,1905
"CLUG_00165T0",2164,1393,728,842,3859,4559,1485,2151,2093,3244,1205,1805,3873,4233,1365,1536,4319,3835,1560,2617,4523,4540,5331,4917
"CLUG_00166T0",8316.16390186423,7908,533,755,16215,17896,774,1350,9720,11870.1764397552,748,873,9747,8405,977,1521,12669,11921,1747,1865,14834,14355,1060,1105
"CLUG_00167T0",302,240,205,241,556,605,504,461,332,430,374,539,632,622,306,253,552,475,634,995,566,496,955,879
"CLUG_00168T0",3072,2676,642,899,5921,5614,1582,2360,2933,3825,993,1152,5250,4644,1080,1283,4654,3830,2858,3784,5306,4943,2817,3086
"CLUG_00169T0",2082,1391,256,343,4035,3876,410,947,1865,2470,275,382,2448,2217,534,684,2511,2294,740,760,2540,2691,955,1144
"CLUG_00170T0",40766,26510,34166,41368,54184,54067,25759,22842,40555,41015,46740,45068,47912,45816,20765,26147,40433,38039,71333,69222,49625,50363,88321,89716
"CLUG_00171T0",67364.1936317073,44174.5817195756,1321,1869.75999739554,65159.8338675035,55429.5646166258,2015,1659.71733055479,39497.6211870367,42523.7202507804,1356.74077782145,1156,31445.167151559,41582.1703715399,1833,1434,28514.5865497779,32860.3923775666,680.218084450034,950,20798.0416238586,21145.0574256805,392,457.02838955761
"CLUG_00172T0",1153,2090,675,477,776,880,736,731,1177,1670,406,498,359,400,2107,1938,523,651,229,117,438,535,597,421
"CLUG_00173T0",92,284,54,36,106,138,50,122,171,249,57,76,43,28,221,238,85,59,23,15,70,67,95,35
"CLUG_00174T0",775,1946,300,237,3729,1816,226,356,1165,2145,306,383,217,254,787,1115,392,424,129,67,266,378,359,258
"CLUG_00175T0",1001,2179,273,231,4932,2185,274,423,1268,2553,306,365,217,299,694,872,437,577,164,88,299,331,290,231
"CLUG_00176T0",50548,79933,6366,8753,128414,69677,7506,5752,60489,93761,13955,13399,72258,66776,4734,4843,65230,41890,6870,8584,79323,71384,5760,5362
