Geneid	Chr	Start	End	Strand	Length	L1B.r1	L1B.r2	L1B_benomyl.r1	L1B_benomyl.r2	L4C.r1	L4C.r2	L4C_benomyl.r1	L4C_benomyl.r2	U10D.r1	U10D.r2	U10D_benomyl.r1	U10D_benomyl.r2	U3B.r1	U3B.r2	U3B_benomyl.r1	U3B_benomyl.r2	U3E.r1	U3E.r2	U3E_benomyl.r1	U3E_benomyl.r2	U5C.r1	U5C.r2	U5C_benomyl.r1	U5C_benomyl.r2
CLUG_00040	Supercontig_1.1	77018	77572	+	555	120	71	42	34	199	31	23	61	159	140	29	41	205	192	77	111	196	135	12	8	81	89	24	33
CLUG_00041	Supercontig_1.1	77926	79305	+	1380	857	668	192	145	1612	215	189	213	935	1170	131	176	1430	1070	341	303	1403	912	113	31	785	545	100	135
CLUG_00042	Supercontig_1.1	79518	80606	+	1089	626	416	235	225	1313	141	306	316	542	926	240	311	3567	4445	726	566	1892	1777	444	157	1135	908	493	802
CLUG_00043	Supercontig_1.1	80669	83119	-	2451	891	795	137	167	2064	269	279	393	1052	1389	177	335	1855	1315	168	196	1620	1162	448	147	890	595	218	371
CLUG_00044	Supercontig_1.1	83319	85826	-	2508	957	1058	86	103	2789	329	199	260	1239	2127	137	151	2231	2135	242	178	2147	1609	191	60	1051	760	92	113
CLUG_00045	Supercontig_1.1	86480	87139	+	660	180	128	524	708	610	70	732	788	345	455	857	1506	852	1052	693	482	709	891	868	220	314	236	522	967
CLUG_00046	Supercontig_1.1	87311	88528	+	1218	343	212	47	46	728	103	83	71	349	497	66	75	1172	1107	90	81	703	620	114	46	419	317	83	115
CLUG_00047	Supercontig_1.1	89098	90540	+	1443	5348	3588	6746	8615	6132	1277	9639	9905	5183	4253	8352	10641	7448	4563	6491	5688	4278	2643	14191	3411	2614	2149	12118	13665
CLUG_00048	Supercontig_1.1;Supercontig_1.1	90642;91941	91842;91987	-;-	1248	6784	6037	3249	3898	11335	1674	3240	3428	6748	8052	4793	4763	6099	4338	715	1144	6097	6110	5028	858	3246	2217	1417	1685
CLUG_00049	Supercontig_1.1	93538	95214	+	1677	5102	4103	833	1070	8156	1209	1485	1661	6148	6933	1521	1627	6733	5160	1428	1192	6395	5110	1788	348	3250	2486	1095	1463
CLUG_00050	Supercontig_1.1	95331	96704	-	1374	1044	1014	259	250	2129	279	356	430	1344	1495	305	306	2185	1493	611	654	1686	1247	322	90	915	657	200	327
CLUG_00051	Supercontig_1.1	97038	98015	-	978	1075	1032	22970	25459	1557	221	41834	30046	1110	1394	23953	29390	1702	1633	27152	24503	1625	1611	23035	4747	780	666	22271	29028
CLUG_00052	Supercontig_1.1	98258	102493	-	4236	2867	2354	664	767	6570	826	1138	1086	2922	4521	894	749	5152	5063	999	1045	5395	4366	1933	471	3121	2051	2348	2790
CLUG_00053	Supercontig_1.1	102696	104180	-	1485	1067	818	166	185	1799	225	169	205	1004	1390	162	199	1687	1443	164	230	1435	1428	375	75	863	595	391	498
CLUG_00054	Supercontig_1.1	104304	105779	-	1476	967	697	182	233	1550	189	285	210	1032	1291	224	185	1818	1459	170	246	1588	1132	548	119	692	512	609	871
CLUG_00055	Supercontig_1.1	106314	107369	+	1056	6192	4568	352	423	6022	909	492	491	6232	6416	384	337	7181	5567	397	454	6106	4902	486	90	4664	3660	439	598
CLUG_00056	Supercontig_1.1	107653	109821	+	2169	704	493	240	263	1286	164	631	551	800	956	271	333	781	572	1053	721	978	703	344	65	465	325	502	678
CLUG_00057	Supercontig_1.1	110452	112080	+	1629	2145	1672	4364	5072	3002	465	6546	6071	2048	2622	6089	7433	2970	3247	2515	1945	3057	2951	4172	755	1853	1350	5814	8150
CLUG_00058	Supercontig_1.1	112228	113157	-	930	1105	772	285	382	1855	238	346	335	1171	1534	517	764	2343	2049	264	220	1988	1607	1074	241	1095	767	707	1063
CLUG_00059	Supercontig_1.1	113380	114096	+	717	425	297	480	560	721	102	1079	548	374	470	629	732	597	474	321	268	577	472	264	51	312	186	373	371
CLUG_00060	Supercontig_1.1	114559	115602	+	1044	968	805	171	252	1697	248	197	316	1118	1312	280	398	1740	1293	126	114	1479	1132	314	88	805	625	118	241
CLUG_00061	Supercontig_1.1	116880	117839	+	960	1174	1103	160	274	1407	187	125	192	1023	1391	210	340	915	739	163	163	1133	1097	516	131	667	477	200	439
CLUG_00062	Supercontig_1.1	118750	119919	+	1170	387	219	93	206	1020	141	203	253	536	710	198	351	1153	771	251	201	1033	798	240	73	487	271	170	199
CLUG_00063	Supercontig_1.1	120278	123799	+	3522	1933	1288	178	219	3887	616	298	517	2786	2858	297	428	2263	1544	236	313	2239	1847	221	48	939	682	131	189
CLUG_00064	Supercontig_1.1	124132	125001	-	870	680	415	465	592	1221	166	1363	1238	632	989	821	1495	1163	1043	620	518	1172	1006	744	204	702	504	1072	1469
CLUG_00065	Supercontig_1.1	125255	126289	+	1035	321	211	189	348	670	113	646	1028	353	628	496	1042	701	639	329	286	824	626	323	120	415	304	904	1437
CLUG_00066	Supercontig_1.1	126582	128840	-	2259	966	652	134	126	1873	204	170	195	701	1246	164	162	1347	1390	401	362	1462	1230	46	20	931	604	95	86
CLUG_00067	Supercontig_1.1	128909	129421	-	513	177	128	33	36	585	64	35	61	243	407	49	46	486	337	137	101	482	326	10	3	207	142	27	35
CLUG_00068	Supercontig_1.1	129984	131234	-	1251	216	103	44	46	668	78	23	64	256	422	34	50	486	454	129	193	550	429	10	3	175	151	34	33
CLUG_00069	Supercontig_1.1	132734	134023	+	1290	806	727	168	267	1964	267	300	335	887	1353	386	467	2077	1747	95	98	1891	1422	742	183	1131	725	567	798
CLUG_00070	Supercontig_1.1	134173	134976	+	804	239	168	34	56	521	64	23	61	243	330	37	93	340	263	46	43	336	281	53	5	213	128	20	39
CLUG_00071	Supercontig_1.1	135107	136420	+	1314	879	682	81	118	1530	224	114	104	817	1089	154	140	1207	913	56	74	1113	843	127	26	621	419	47	92
CLUG_00072	Supercontig_1.1	136494	138644	-	2151	4714	2469	354	461	5894	1079	615	621	7635	5287	710	563	16044	16991	418	444	9767	7358	556	131	6222	5159	163	265
CLUG_00073	Supercontig_1.1	140487	144779	-	4293	6501	5427	688	992	11860	1620	1050	1208	7263	9445	1063	1116	10396	9816	450	603	10482	8761	2482	503	5167	3677	1118	1442
CLUG_00074	Supercontig_1.1	145275	146633	-	1359	5075	3500	425	531	6116	954	353	269	5157	4832	452	286	2411	1165	196	245	2278	2308	464	77	2663	1789	246	228
CLUG_00075	Supercontig_1.1	147130	148119	-	990	5878	4880	51400	60419	5608	1163	66236	79125	5288	5567	57160	60668	5872	4964	66441	64813	5132	4802	64052	13369	2543	2378	52379	73050
CLUG_00076	Supercontig_1.1	148071	148763	-	693	2302	2242	21430	24454	2852	494	14525	35134	2976	2994	30333	30296	2984	2203	29150	29029	2566	1796	25772	6636	1158	1097	26148	35590
CLUG_00077	Supercontig_1.1	150607	152544	+	1938	4748	3482	1115	1392	8950	1170	3853	3066	5862	6484	1236	1525	4541	3294	1830	1917	5223	4610	3092	676	3161	2306	1102	1949
CLUG_00078	Supercontig_1.1	153833	154918	+	1086	7217	3297	1003	1130	8393	1708	2908	2476	7642	7666	1541	1841	28554	23177	1524	1520	16962	13842	2162	458	12668	9584	868	1383
CLUG_00079	Supercontig_1.1	155064	155483	-	420	208	222	87	89	394	43	60	192	240	256	91	145	225	143	267	395	268	187	35	9	143	87	92	56
CLUG_00080	Supercontig_1.1	155917	157935	+	2019	1924	1601	403	358	3239	458	648	503	2020	2378	631	552	2738	2415	358	475	2548	2073	1055	193	1414	993	960	1220
CLUG_00081	Supercontig_1.1	157970	159511	-	1542	1673	1173	433	456	3241	431	916	919	1767	2521	546	769	2293	1418	1691	1247	2233	1652	618	172	906	601	615	776
CLUG_00082	Supercontig_1.1	159707	161170	-	1464	1264	1004	398	527	2423	339	778	1003	1841	1935	932	1561	2642	1748	641	863	2197	1902	985	248	1026	775	433	585
CLUG_00083	Supercontig_1.1	161919	163499	+	1581	1344	1063	425	528	2533	388	678	619	1634	1838	460	406	2517	1959	540	595	2595	2050	234	52	1270	877	375	450
CLUG_00084	Supercontig_1.1	163680	164471	+	792	402	306	273	306	804	107	399	375	407	567	289	312	1523	1405	543	522	867	762	258	94	542	404	305	524
CLUG_00085	Supercontig_1.1	164579	165301	-	723	1281	1079	24708	27399	1797	301	52576	29367	1296	1394	22673	25327	3001	2278	48611	33140	2046	1530	7788	1947	1447	1139	13832	18485
CLUG_00086	Supercontig_1.1	165317	166945	-	1629	15094	7709	23005	24937	15547	2610	21675	18038	12451	11645	16832	17665	9272	7088	30060	40659	8931	10224	2305	345	5998	4890	3166	5671
CLUG_00087	Supercontig_1.1	167980	169956	-	1977	1021	767	15073	14953	1690	227	25182	17990	1039	1140	12738	13607	1313	1091	26196	26415	1177	1080	3167	653	949	665	6062	8779
CLUG_00088	Supercontig_1.1	170176	173421	-	3246	1008	782	396	398	2499	313	562	421	1022	1611	476	666	2368	2248	489	600	2319	1885	859	180	1364	860	729	1116
CLUG_00089	Supercontig_1.1	173775	175991	+	2217	579	442	176	176	1957	176	505	587	634	1098	171	199	1340	1120	632	524	1446	970	132	33	667	437	297	427
CLUG_00090	Supercontig_1.1	176125	177135	-	1011	4736	4041	997	1275	7424	948	1383	1265	4138	5522	1417	1815	5107	3944	470	558	4874	4704	2258	442	2827	1757	769	1051
CLUG_00091	Supercontig_1.1	178140	179099	-	960	361	266	145	180	582	71	310	371	331	452	169	312	708	757	176	179	671	560	218	62	381	274	505	723
CLUG_00092	Supercontig_1.1	179594	180043	+	450	1436	1319	301	391	2436	319	513	511	1354	1635	402	576	2350	1957	190	199	2030	1792	497	114	1132	854	370	512
CLUG_00093	Supercontig_1.1	180843	182039	+	1197	2738	2293	3967	4443	4416	599	6409	3204	2809	3264	4239	4570	3914	3086	5118	4689	3607	3153	2550	527	2628	1771	1700	2514
CLUG_00094	Supercontig_1.1	182979	183533	+	555	2072	2178	554	627	1810	276	592	408	1728	1732	429	442	1516	1094	417	518	1581	1217	776	145	916	659	216	163
CLUG_00095	Supercontig_1.1	184149	185657	+	1509	1957	1275	970	1098	1846	279	309	389	1778	1777	784	593	1226	995	735	1165	1149	1108	729	163	888	603	628	852
CLUG_00096	Supercontig_1.1	185706	186737	-	1032	880	522	254	378	2213	237	348	446	856	1409	625	839	2474	2056	421	332	1954	1392	1127	281	1021	713	909	1313
CLUG_00097	Supercontig_1.1	187035	189725	-	2691	2876	1772	141	187	6099	857	146	174	3405	4193	129	104	5253	4673	97	184	5660	3689	115	34	2471	1652	49	42
CLUG_00098	Supercontig_1.1	190594	191991	-	1398	252	157	97	78	454	79	67	63	289	201	52	33	288	208	1	108	345	354	204	40	175	114	6	14
CLUG_00099	Supercontig_1.1	192896	194734	+	1839	4996	3591	1669	1488	6528	1285	1479	1692	5087	5169	1312	1509	6458	4906	2477	3595	6108	5249	1484	312	3809	2663	757	969
CLUG_00100	Supercontig_1.1	195003	195854	-	852	228	129	95	94	431	46	32	24	192	289	31	37	424	459	25	133	327	385	108	19	202	129	10	20
CLUG_00101	Supercontig_1.1	196468	197757	-	1290	741	725	56	111	1474	171	116	108	811	1059	122	111	1198	1018	47	53	1075	925	296	47	543	421	110	178
CLUG_00102	Supercontig_1.1	198246	198767	+	522	1628	1231	124	178	1543	219	161	118	1330	1393	252	214	1633	1541	43	73	1277	1366	518	75	1010	641	90	133
CLUG_00103	Supercontig_1.1	200067	200873	+	807	970	899	197	309	2110	252	404	375	1138	1633	504	831	2420	1892	157	140	2126	1744	600	180	1098	713	233	412
CLUG_00104	Supercontig_1.1	200940	201509	-	570	352	278	30	31	487	68	60	22	310	371	35	43	533	409	4	8	423	369	96	29	332	243	115	117
CLUG_00105	Supercontig_1.1	203136	204797	+	1662	588	473	172	208	1016	135	304	266	546	837	184	278	1786	2075	236	178	1161	1034	288	109	678	481	339	499
CLUG_00106	Supercontig_1.1	205480	208425	+	2946	756	617	52	96	1431	212	92	141	832	1112	73	118	1139	936	20	31	1209	888	173	45	660	449	123	122
CLUG_00107	Supercontig_1.1	208472	209161	-	690	402	229	29	23	705	85	34	29	340	487	60	45	624	545	7	14	550	451	50	17	289	171	25	28
CLUG_00108	Supercontig_1.1	209527	210027	-	501	379	241	878	934	624	96	2580	1791	314	482	729	951	2005	2233	3711	2491	1008	883	212	64	719	497	408	596
CLUG_00109	Supercontig_1.1	210910	212751	-	1842	51	69	1703	1682	116	33	1698	2866	51	52	1347	2037	51	52	4607	5306	53	65	277	50	82	57	821	1133
CLUG_00110	Supercontig_1.1	213068	213562	+	495	466	313	77	111	831	129	94	82	461	681	88	77	874	709	58	157	783	674	80	10	536	355	55	85
CLUG_00111	Supercontig_1.1	213572	215308	-	1737	1106	902	977	966	1981	286	553	1323	1145	1376	811	1177	1723	1387	1956	2815	1698	1334	366	82	853	601	510	700
CLUG_00112	Supercontig_1.1	218337	218957	-	621	3906	2601	886	1086	6241	784	1351	1041	3629	4546	1821	2427	5002	4270	974	923	4831	4743	2657	457	2810	1880	834	1104
CLUG_00113	Supercontig_1.1	219483	220376	-	894	1732	1476	426	517	1958	239	897	786	1401	1726	451	534	1937	1440	1126	1101	1728	1470	304	74	1161	837	473	601
CLUG_00114	Supercontig_1.1	220901	221587	+	687	3079	2938	1282	1493	5084	698	1439	1722	3751	5279	3718	7189	11096	10522	774	902	7041	5368	5589	1139	5681	3859	7006	10760
CLUG_00115	Supercontig_1.1	220922	221587	-	666	236	4	292	335	3	0	219	428	2	0	153	177	5	445	580	680	3	287	460	10	1	3	203	303
CLUG_00116	Supercontig_1.1	222258	225437	+	3180	1102	727	190	315	1946	341	367	387	1291	1867	336	490	2158	2240	91	192	2387	1880	596	185	1277	940	1634	2088
CLUG_00117	Supercontig_1.1	225983	228367	-	2385	1960	1193	499	562	2937	463	656	901	2099	2567	557	635	2989	3028	1101	1331	2500	2418	605	120	1737	1186	541	759
CLUG_00118	Supercontig_1.1	228655	230724	-	2070	2811	2021	1459	1882	4230	627	4410	4264	2445	2770	1622	2479	3507	2878	3444	3096	3297	3068	1973	294	1894	1271	1822	2485
CLUG_00119	Supercontig_1.1	231288	232178	+	891	391	252	80	137	728	104	148	143	376	487	60	96	681	486	55	135	575	479	79	18	364	264	108	76
CLUG_00120	Supercontig_1.1	232513	233979	+	1467	1297	933	163	232	2965	426	172	155	1815	2147	181	141	2496	2126	38	213	2607	2126	123	29	1299	1023	28	52
CLUG_00121	Supercontig_1.1	234184	236247	-	2064	1108	673	3457	5304	1867	298	8318	9438	1543	1454	3332	4872	1857	1728	3922	4326	1977	2431	15060	3056	1238	956	7572	10806
CLUG_00122	Supercontig_1.1	236768	237784	-	1017	1625	1342	108	127	2938	367	199	174	1716	2070	197	166	2670	2000	62	87	2447	1679	364	57	1205	824	80	95
CLUG_00123	Supercontig_1.1	238263	239360	-	1098	44768	37128	3908	6522	75414	10423	7552	9067	32894	52741	5239	6084	67275	51214	3271	3074	66330	44193	3944	1349	29716	19060	2087	2589
CLUG_00124	Supercontig_1.1	241828	244869	+	3042	4718	5588	1018	1348	8176	1245	1467	1758	5271	6198	1476	1832	7127	5750	1108	1161	6900	5423	2697	578	3785	2794	1094	1549
CLUG_00125	Supercontig_1.1	244995	245465	-	471	382	302	151	149	730	98	354	271	434	576	242	232	2080	2173	595	417	1136	886	365	132	698	529	508	698
CLUG_00126	Supercontig_1.1	245577	246428	+	852	505	555	117	151	927	106	231	228	468	766	164	184	2213	2386	475	270	1263	1023	201	69	622	435	109	167
CLUG_00127	Supercontig_1.1	246558	247358	-	801	537	412	140	140	872	128	174	275	610	618	185	243	931	750	423	456	795	743	214	27	430	278	434	545
CLUG_00128	Supercontig_1.1	247433	248101	+	669	161	136	42	68	306	39	130	97	129	212	67	74	331	283	223	158	274	228	39	8	150	103	32	82
CLUG_00129	Supercontig_1.1	248448	249200	+	753	571	1143	175	280	2727	173	488	425	548	1772	443	761	2860	4760	325	186	2950	2983	881	413	1385	1074	851	2634
CLUG_00130	Supercontig_1.1	249616	250155	-	540	1414	897	1226	1511	2471	304	2264	1659	1252	1668	2420	3291	4042	4524	3012	1959	2607	2326	3452	980	1344	963	4090	6578
CLUG_00131	Supercontig_1.1	250662	253643	+	2982	810	631	311	351	2596	364	597	1243	1178	1706	382	543	1757	1508	1132	1359	1849	1358	723	251	947	599	1029	2132
CLUG_00132	Supercontig_1.1	253870	254721	+	852	434	292	74	91	1131	142	240	503	630	726	106	212	807	633	393	332	900	588	234	105	415	298	419	833
CLUG_00133	Supercontig_1.1	254840	255403	+	564	427	298	62	117	803	137	332	516	471	637	108	196	710	525	425	314	734	450	236	114	398	236	354	680
CLUG_00134	Supercontig_1.1	256301	257464	-	1164	3189	3132	3547	4162	4820	628	4524	5313	3517	4341	3849	5077	4733	3830	9414	9678	4334	4085	2757	601	2587	1992	3486	6382
CLUG_00135	Supercontig_1.1	257911	261987	-	4077	866	759	8082	8638	2574	315	17592	22254	980	1534	7195	13641	2219	1981	30591	32432	2142	1640	3713	723	1146	727	12397	19455
CLUG_00136	Supercontig_1.1	262184	263068	-	885	265	189	5696	7772	287	53	11219	13144	231	251	5897	10590	332	278	15424	16532	337	273	2895	564	145	127	6445	7982
CLUG_00137	Supercontig_1.1	263192	264289	-	1098	4497	2979	39369	49466	5026	815	53361	51021	7117	4714	44226	52447	9113	8741	34965	40214	6907	8047	42248	8214	3376	2922	43363	61488
CLUG_00138	Supercontig_1.1	265160	266776	+	1617	2358	1572	1458	1807	4330	485	4115	4731	2663	3169	2135	2727	3856	3341	4592	4682	3386	2917	3189	677	1628	1062	2021	3356
CLUG_00139	Supercontig_1.1	268882	270564	+	1683	2144	2610	134	155	3053	467	247	265	3129	3316	177	186	3620	3158	184	226	3139	2557	193	37	1700	1404	89	109
CLUG_00140	Supercontig_1.1	270764	271351	+	588	3161	2873	438	721	4540	587	753	642	4300	4880	1130	1228	3088	1613	234	209	3780	2886	1037	223	2247	1339	536	595
CLUG_00141	Supercontig_1.1	271378	273213	-	1836	933	752	536	753	1740	263	1328	2024	1118	1378	853	1580	1621	1473	943	827	1569	1264	1148	297	846	616	2499	3260
CLUG_00142	Supercontig_1.1	273503	276331	+	2829	923	675	287	435	1568	307	569	1012	1002	1644	614	1452	1947	2199	260	360	2113	1865	1048	293	1275	970	2096	2635
CLUG_00143	Supercontig_1.1	276397	279642	+	3246	431	468	138	166	1322	176	165	536	658	897	205	300	793	837	430	489	1086	792	211	61	521	342	464	665
CLUG_00144	Supercontig_1.1	279763	281226	+	1464	1194	989	229	298	2807	348	713	857	1293	1839	303	494	2318	1828	756	622	2044	1468	343	124	1142	727	558	888
CLUG_00145	Supercontig_1.1	281556	282338	+	783	1007	1258	72	108	1533	197	242	161	996	1337	130	148	1853	1284	108	63	1510	1220	222	56	927	671	161	238
CLUG_00146	Supercontig_1.1	282498	282935	-	438	189	119	32	32	254	36	40	28	178	205	35	30	251	182	31	44	246	158	62	9	133	75	35	54
CLUG_00147	Supercontig_1.1	283043	284203	+	1161	431	247	21	47	811	99	43	58	436	582	50	34	582	504	96	65	574	498	17	5	372	200	23	30
CLUG_00148	Supercontig_1.1	284825	285040	+	216	4264	2788	2140	2864	6024	770	5638	4447	3854	5228	3830	6634	14686	14877	2620	1528	9841	8382	5526	1430	8185	5647	8660	15770
CLUG_00149	Supercontig_1.1	286408	289902	+	3495	2413	1375	99	123	3941	529	180	209	2877	3121	220	130	2288	1805	238	257	2992	2593	279	50	1175	736	64	78
CLUG_00150	Supercontig_1.1	289934	290362	-	429	352	898	18	18	845	55	11	35	357	577	32	12	695	838	38	28	683	505	11	1	442	381	9	11
CLUG_00151	Supercontig_1.1	291662	292117	-	456	1251	12	397	421	10	1	5	13	2	8	3	8	5	466	7	86	5	573	650	0	5	3	2	26
CLUG_00152	Supercontig_1.1	291858	292736	+	879	95857	150101	15284	16034	87763	9585	14569	9506	57560	63048	16829	14128	72379	55150	2625	3788	81137	60061	49418	6572	53067	29577	15290	13038
CLUG_00153	Supercontig_1.1	292811	293890	+	1080	1410	1248	427	551	2439	282	579	680	1405	1860	664	908	2677	2597	264	233	2178	2010	1529	312	1209	854	810	1088
CLUG_00154	Supercontig_1.1	294331	295437	-	1107	430	337	60	85	1039	128	87	96	541	697	128	123	1049	791	75	52	987	670	227	56	525	347	195	235
CLUG_00155	Supercontig_1.1	296001	297074	+	1074	1220	1034	625	799	2513	343	967	941	1217	1659	1187	1557	2486	2112	330	282	2048	1694	1706	453	1183	861	2047	2938
CLUG_00156	Supercontig_1.1	297199	299322	-	2124	409	160	377	402	698	89	367	375	551	708	126	149	326	445	1196	1281	720	825	118	18	208	217	140	123
