# Program:featureCounts v1.6.0; Command:"featureCounts" "-g" "gene_id" "-T" "8" "-G" "genome/candida_lusitaniae_ATCC42720_w_CBS_6936_MT.fasta" "-s" "0" "-a" "genome/candida_lusitaniae_1_transcripts.gtf" "--tmpDir" "/scratch" "-o" "results/featureCounts/L1B.r1.gsnap_reads.nostrand.tab" "-F" "GTF" "aln/L1B.r1.gsnap.bam" 
Geneid	Chr	Start	End	Strand	Length	aln/L1B.r1.gsnap.bam
CLUG_00114	Supercontig_1.1	220901	221587	+	687	0
CLUG_00115	Supercontig_1.1	220922	221587	-	666	0
CLUG_00116	Supercontig_1.1	222258	225437	+	3180	2415
CLUG_00117	Supercontig_1.1	225983	228367	-	2385	4459
CLUG_00118	Supercontig_1.1	228655	230724	-	2070	5727
CLUG_00119	Supercontig_1.1	231288	232178	+	891	823
CLUG_00120	Supercontig_1.1	232513	233979	+	1467	2617
CLUG_00121	Supercontig_1.1	234184	236247	-	2064	3007
CLUG_00122	Supercontig_1.1	236768	237784	-	1017	3369
CLUG_00123	Supercontig_1.1	238263	239360	-	1098	92480
CLUG_00124	Supercontig_1.1	241828	244869	+	3042	9928
CLUG_00125	Supercontig_1.1	244995	245465	-	471	755
CLUG_00126	Supercontig_1.1	245577	246428	+	852	1158
CLUG_00127	Supercontig_1.1	246558	247358	-	801	1060
CLUG_00128	Supercontig_1.1	247433	248101	+	669	341
CLUG_00129	Supercontig_1.1	248448	249200	+	753	1194
CLUG_00130	Supercontig_1.1	249616	250155	-	540	3011
CLUG_00131	Supercontig_1.1	250662	253643	+	2982	1650
CLUG_00132	Supercontig_1.1	253870	254721	+	852	907
CLUG_00133	Supercontig_1.1	254840	255403	+	564	832
CLUG_00134	Supercontig_1.1	256301	257464	-	1164	6298
CLUG_00135	Supercontig_1.1	257911	261987	-	4077	1817
CLUG_00136	Supercontig_1.1	262184	263068	-	885	570
CLUG_00137	Supercontig_1.1	263192	264289	-	1098	9435
CLUG_00138	Supercontig_1.1	265160	266776	+	1617	5015
CLUG_00139	Supercontig_1.1	268882	270564	+	1683	4421
CLUG_00140	Supercontig_1.1	270764	271351	+	588	5623
CLUG_00141	Supercontig_1.1	271378	273213	-	1836	2422
CLUG_00142	Supercontig_1.1	273503	276331	+	2829	1904
CLUG_00143	Supercontig_1.1	276397	279642	+	3246	995
CLUG_00144	Supercontig_1.1	279763	281226	+	1464	2559
CLUG_00145	Supercontig_1.1	281556	282338	+	783	2069
CLUG_00146	Supercontig_1.1	282498	282935	-	438	409
CLUG_00147	Supercontig_1.1	283043	284203	+	1161	867
CLUG_00148	Supercontig_1.1	284825	285040	+	216	6486
CLUG_00149	Supercontig_1.1	286408	289902	+	3495	7142
CLUG_00150	Supercontig_1.1	289934	290362	-	429	542
CLUG_00151	Supercontig_1.1	291662	292117	-	456	23178
CLUG_00152	Supercontig_1.1	291858	292736	+	879	126448
CLUG_00153	Supercontig_1.1	292811	293890	+	1080	2938
CLUG_00154	Supercontig_1.1	294331	295437	-	1107	800
CLUG_00155	Supercontig_1.1	296001	297074	+	1074	2640
CLUG_00156	Supercontig_1.1	297199	299322	-	2124	840
CLUG_00157	Supercontig_1.1	299898	300494	-	597	30237
CLUG_00158	Supercontig_1.1	300898	302001	-	1104	3487
CLUG_00159	Supercontig_1.1	302640	302984	-	345	2612
CLUG_00160	Supercontig_1.1	303147	308459	-	5313	7861
CLUG_00161	Supercontig_1.1	309090	309344	-	255	428
CLUG_00162	Supercontig_1.1	309763	311703	-	1941	1537
CLUG_00163	Supercontig_1.1	312946	314676	+	1731	5150
CLUG_00164	Supercontig_1.1	315320	317425	+	2106	1235
CLUG_00165	Supercontig_1.1	317672	320599	+	2928	2432
CLUG_00166	Supercontig_1.1	321399	324881	+	3483	9273
CLUG_00167	Supercontig_1.1	325196	325618	+	423	785
CLUG_00168	Supercontig_1.1	326287	327861	+	1575	3621
CLUG_00169	Supercontig_1.1	328836	329915	+	1080	3201
CLUG_00170	Supercontig_1.1	331505	333535	+	2031	46072
CLUG_00171	Supercontig_1.1	333938	334984	-	1047	90513
CLUG_00172	Supercontig_1.1	337926	339587	-	1662	1320
CLUG_00173	Supercontig_1.1	339667	340134	-	468	247
CLUG_00174	Supercontig_1.1	340228	341355	+	1128	999
CLUG_00175	Supercontig_1.1	341445	342698	+	1254	1326
CLUG_00176	Supercontig_1.1	344260	345711	-	1452	61544
CLUG_00177	Supercontig_1.1	347815	349350	+	1536	14100
CLUG_00178	Supercontig_1.1	350485	351861	+	1377	74183
CLUG_00179	Supercontig_1.1	352779	355868	+	3090	16260
CLUG_00180	Supercontig_1.1	357124	358230	+	1107	2474
CLUG_00181	Supercontig_1.1	359036	359938	+	903	1240
CLUG_00182	Supercontig_1.1	361174	361605	+	432	423
CLUG_00183	Supercontig_1.1	362173	364440	-	2268	5980
CLUG_00184	Supercontig_1.1	365541	366821	-	1281	1511
CLUG_00185	Supercontig_1.1	368136	369476	+	1341	849
CLUG_00186	Supercontig_1.1	370242	370898	+	657	845
CLUG_00187	Supercontig_1.1	371174	371827	-	654	927
CLUG_00188	Supercontig_1.1	371453	371992	+	540	4
CLUG_00189	Supercontig_1.1	372603	373259	+	657	3356
CLUG_00190	Supercontig_1.1	373720	374346	-	627	1397
CLUG_00191	Supercontig_1.1	376794	377327	+	534	3385
CLUG_00192	Supercontig_1.1	377513	379465	-	1953	2381
CLUG_00193	Supercontig_1.1	380451	381893	-	1443	1907
CLUG_00194	Supercontig_1.1	381973	383442	-	1470	298
CLUG_00195	Supercontig_1.1	385283	387031	+	1749	2869
CLUG_00196	Supercontig_1.1	388135	392499	-	4365	6575
CLUG_00197	Supercontig_1.1	392591	396217	-	3627	1426
CLUG_00198	Supercontig_1.1	396992	397672	+	681	603
CLUG_00199	Supercontig_1.1	398138	398845	-	708	64701
CLUG_00200	Supercontig_1.1	399222	399776	+	555	32
CLUG_00201	Supercontig_1.1	400899	405125	+	4227	2631
CLUG_00202	Supercontig_1.1	405611	406066	+	456	2283
CLUG_00203	Supercontig_1.1	407123	408253	+	1131	18406
CLUG_00204	Supercontig_1.1	408955	409992	+	1038	32247
CLUG_00205	Supercontig_1.1	410755	412602	+	1848	4725
CLUG_00206	Supercontig_1.1	412791	413579	+	789	8046
CLUG_00207	Supercontig_1.1	414569	416347	+	1779	4256
CLUG_00208	Supercontig_1.1	418924	420453	+	1530	10192
CLUG_00209	Supercontig_1.1	421327	422364	+	1038	5423
CLUG_00210	Supercontig_1.1	423401	425182	+	1782	3088
CLUG_00211	Supercontig_1.1	425533	427863	+	2331	4705
CLUG_00212	Supercontig_1.1	428212	429516	+	1305	5630
CLUG_00213	Supercontig_1.1	430078	431499	+	1422	1764
CLUG_00214	Supercontig_1.1	431640	433583	+	1944	2329
CLUG_00215	Supercontig_1.1	434218	435630	+	1413	4678
CLUG_00216	Supercontig_1.1	436585	437484	-	900	1698
CLUG_00217	Supercontig_1.1	437704	438393	-	690	2034
CLUG_00218	Supercontig_1.1	438942	439670	-	729	2880
CLUG_00219	Supercontig_1.1	440575	443265	-	2691	2627
CLUG_00220	Supercontig_1.1	443009	444760	-	1752	530
CLUG_00221	Supercontig_1.1	446487	449246	+	2760	25233
CLUG_00222	Supercontig_1.1	446657	447508	-	852	0
CLUG_00223	Supercontig_1.1	449478	450782	-	1305	65608
CLUG_00224	Supercontig_1.1	452139	453389	-	1251	1200
CLUG_00225	Supercontig_1.1	454245	455702	+	1458	1804
CLUG_00226	Supercontig_1.1	455880	456851	+	972	2062
CLUG_00227	Supercontig_1.1	457165	458709	+	1545	2429
CLUG_00228	Supercontig_1.1	459052	459537	+	486	799
CLUG_00229	Supercontig_1.1	459586	460182	-	597	2455
CLUG_00230	Supercontig_1.1	460293	462083	-	1791	1779
CLUG_00231	Supercontig_1.1	462145	462687	+	543	627
CLUG_00232	Supercontig_1.1	463143	463535	-	393	1245
CLUG_00233	Supercontig_1.1	464203	465207	-	1005	2880
CLUG_00234	Supercontig_1.1	466119	467933	-	1815	13196
CLUG_00235	Supercontig_1.1	469940	471283	+	1344	285
CLUG_00236	Supercontig_1.1	469991	470791	-	801	0
CLUG_00237	Supercontig_1.1	470545	471027	-	483	0
CLUG_00238	Supercontig_1.1	471201	472376	+	1176	2871
CLUG_00239	Supercontig_1.1	472225	473172	+	948	4136
CLUG_00240	Supercontig_1.1	473181	474443	-	1263	1468
CLUG_00241	Supercontig_1.1	474858	475748	-	891	337
CLUG_00242	Supercontig_1.1	476801	478303	-	1503	127110
CLUG_00243	Supercontig_1.1	481208	481648	+	441	273
CLUG_00244	Supercontig_1.1	482299	483768	-	1470	2112
CLUG_00245	Supercontig_1.1	484446	485537	+	1092	1789
CLUG_00246	Supercontig_1.1	487122	488261	-	1140	4604
CLUG_00247	Supercontig_1.1	490035	491276	+	1242	101
CLUG_00248	Supercontig_1.1	491665	493323	+	1659	1703
CLUG_00249	Supercontig_1.1	494561	495916	-	1356	1113
CLUG_00250	Supercontig_1.1	496331	497194	-	864	6348
CLUG_00251	Supercontig_1.1	497485	498942	+	1458	1209
CLUG_00252	Supercontig_1.1	499003	500058	-	1056	1237
CLUG_00253	Supercontig_1.1	500122	502434	-	2313	1299
CLUG_00254	Supercontig_1.1	502819	503424	-	606	2857
CLUG_00255	Supercontig_1.1	503752	504939	+	1188	16
CLUG_00256	Supercontig_1.1	505194	506396	+	1203	3135
CLUG_00257	Supercontig_1.1	506423	507166	-	744	893
CLUG_00258	Supercontig_1.1	507716	509701	+	1986	1766
CLUG_00259	Supercontig_1.1	509924	511276	+	1353	915
CLUG_00260	Supercontig_1.1	511661	515485	+	3825	5253
CLUG_00261	Supercontig_1.1	515953	517836	+	1884	400
CLUG_00262	Supercontig_1.1	518092	519123	+	1032	494
CLUG_00263	Supercontig_1.1	520004	521815	-	1812	4387
CLUG_00264	Supercontig_1.1	522909	525350	+	2442	10068
CLUG_00265	Supercontig_1.1	525648	526526	-	879	1016
CLUG_00266	Supercontig_1.1	527173	529434	+	2262	3025
CLUG_00267	Supercontig_1.1	529589	530884	-	1296	3518
CLUG_00268	Supercontig_1.1	531662	532117	+	456	10001
CLUG_00269	Supercontig_1.1	532104	534128	+	2025	1901
CLUG_00270	Supercontig_1.1	534181	535143	+	963	2205
CLUG_00271	Supercontig_1.1	535196	536515	-	1320	29577
CLUG_00272	Supercontig_1.1	537200	538075	+	876	1046
CLUG_00273	Supercontig_1.1	538164	539036	-	873	8571
CLUG_00274	Supercontig_1.1	539780	540349	+	570	1070
CLUG_00275	Supercontig_1.1	540542	541210	+	669	366
CLUG_00276	Supercontig_1.1	540742	541572	-	831	2065
CLUG_00277	Supercontig_1.1	542289	544766	+	2478	7510
CLUG_00278	Supercontig_1.1	547075	548322	+	1248	102902
CLUG_00279	Supercontig_1.1	548530	549132	-	603	491
CLUG_00280	Supercontig_1.1	549445	550656	+	1212	1275
CLUG_00281	Supercontig_1.1	550710	553238	-	2529	1146
CLUG_00282	Supercontig_1.1	553791	555200	-	1410	9277
CLUG_00283	Supercontig_1.1	556869	558854	-	1986	3144
CLUG_00284	Supercontig_1.1	559741	560379	-	639	3214
CLUG_00285	Supercontig_1.1	560486	562183	-	1698	1821
CLUG_00286	Supercontig_1.1	562526	563593	-	1068	65574
CLUG_00287	Supercontig_1.1	565044	567095	+	2052	15252
CLUG_00288	Supercontig_1.1	567254	568999	+	1746	2738
CLUG_00289	Supercontig_1.1	569087	570019	-	933	1180
CLUG_00290	Supercontig_1.1	570075	571079	-	1005	934
CLUG_00291	Supercontig_1.1	572078	573100	+	1023	588
CLUG_00292	Supercontig_1.1	573550	574227	+	678	928
CLUG_00293	Supercontig_1.1	574453	576690	+	2238	1019
CLUG_00294	Supercontig_1.1	577236	577565	+	330	87
CLUG_00295	Supercontig_1.1	577877	578197	-	321	89286
CLUG_00296	Supercontig_1.1	579830	582631	-	2802	5262
CLUG_00297	Supercontig_1.1	583089	584006	-	918	63
CLUG_00298	Supercontig_1.1	584784	586319	+	1536	2719
CLUG_00299	Supercontig_1.1	586474	586908	-	435	793
CLUG_00300	Supercontig_1.1	587726	589042	+	1317	2229
CLUG_00301	Supercontig_1.1	589384	590535	-	1152	1319
CLUG_00302	Supercontig_1.1	590728	592365	+	1638	6746
CLUG_00303	Supercontig_1.1	593700	594974	+	1275	5337
CLUG_00304	Supercontig_1.1	595266	597005	-	1740	1235
CLUG_00305	Supercontig_1.1	598008	600170	-	2163	1659
CLUG_00306	Supercontig_1.1	601065	601526	+	462	53
CLUG_00307	Supercontig_1.1	601672	602358	+	687	3703
CLUG_00308	Supercontig_1.1	602643	603233	-	591	2691
CLUG_00309	Supercontig_1.1	603574	606087	-	2514	5034
CLUG_00310	Supercontig_1.1	606641	607216	+	576	1
CLUG_00311	Supercontig_1.1	607327	609615	+	2289	2552
CLUG_00312	Supercontig_1.1	610025	611173	-	1149	1616
CLUG_00313	Supercontig_1.1	612397	613911	-	1515	1323
CLUG_00314	Supercontig_1.1	616811	618907	+	2097	7562
CLUG_00315	Supercontig_1.1	620650	621789	+	1140	2026
CLUG_00316	Supercontig_1.1	621867	623528	-	1662	7282
CLUG_00317	Supercontig_1.1	624265	631167	-	6903	1912
CLUG_00318	Supercontig_1.1	632354	633676	+	1323	5581
CLUG_00319	Supercontig_1.1	634086	635291	-	1206	2434
CLUG_00320	Supercontig_1.1	635551	637884	+	2334	3185
CLUG_00321	Supercontig_1.1	638884	639708	+	825	3900
CLUG_00322	Supercontig_1.1	640251	641945	-	1695	857
CLUG_00323	Supercontig_1.1	642990	644783	-	1794	941
CLUG_00324	Supercontig_1.1	645758	647113	-	1356	7967
CLUG_00325	Supercontig_1.1	647827	648666	+	840	146
CLUG_00326	Supercontig_1.1	647926	648855	-	930	212
CLUG_00327	Supercontig_1.1	649140	652160	-	3021	1256
CLUG_00328	Supercontig_1.1	652363	654399	-	2037	315
CLUG_00329	Supercontig_1.1	654735	655187	+	453	652
CLUG_00330	Supercontig_1.1	655314	658691	-	3378	2625
CLUG_00331	Supercontig_1.1	659677	663540	-	3864	1570
CLUG_00332	Supercontig_1.1	664287	664919	+	633	1201
CLUG_00333	Supercontig_1.1	665275	665967	-	693	837
CLUG_00334	Supercontig_1.1	667328	668287	+	960	338
CLUG_00335	Supercontig_1.1	668509	671400	+	2892	763
CLUG_00336	Supercontig_1.1	671652	672215	+	564	391
CLUG_00337	Supercontig_1.1	673493	674152	+	660	1532
CLUG_00338	Supercontig_1.1	674203	675783	-	1581	2131
CLUG_00339	Supercontig_1.1	676445	678100	+	1656	1165
CLUG_00340	Supercontig_1.1	678183	678896	-	714	278
CLUG_00341	Supercontig_1.1	680113	681822	+	1710	28
CLUG_00342	Supercontig_1.1	682583	683449	+	867	4471
CLUG_00343	Supercontig_1.1	683898	685151	-	1254	782
CLUG_00344	Supercontig_1.1	685565	686815	+	1251	862
CLUG_00345	Supercontig_1.1	686861	687490	-	630	8166
CLUG_00346	Supercontig_1.1	688087	690522	-	2436	1506
CLUG_00347	Supercontig_1.1	691857	694151	+	2295	1593
CLUG_00348	Supercontig_1.1	694187	695281	-	1095	986
CLUG_00349	Supercontig_1.1	695581	697263	+	1683	2295
CLUG_00350	Supercontig_1.1	697388	698983	-	1596	5072
CLUG_00351	Supercontig_1.1	699337	700359	+	1023	995
CLUG_00352	Supercontig_1.1	701669	703423	+	1755	529
CLUG_00353	Supercontig_1.1	704174	704758	+	585	5277
CLUG_00354	Supercontig_1.1	704879	705334	-	456	341
CLUG_00355	Supercontig_1.1	706583	707050	-	468	101
CLUG_00356	Supercontig_1.1	706603	707319	-	717	968
CLUG_00357	Supercontig_1.1	709109	711304	+	2196	2828
CLUG_00358	Supercontig_1.1	713916	714806	-	891	210
CLUG_00359	Supercontig_1.1	713940	714866	+	927	0
CLUG_00360	Supercontig_1.1	714697	715233	+	537	2999
CLUG_00361	Supercontig_1.1	717222	718220	+	999	26636
CLUG_00362	Supercontig_1.1	718693	719241	+	549	61
CLUG_00363	Supercontig_1.1	718720	719184	-	465	0
CLUG_00364	Supercontig_1.1	718841	719323	+	483	0
CLUG_00365	Supercontig_1.1	719247	719741	+	495	440
CLUG_00366	Supercontig_1.1	720850	721512	-	663	4258
CLUG_00367	Supercontig_1.1	722638	725727	-	3090	7802
CLUG_00368	Supercontig_1.1	727279	728745	+	1467	2296
CLUG_00369	Supercontig_1.1	729189	730088	-	900	1251
CLUG_00370	Supercontig_1.1	730677	731747	+	1071	1041
CLUG_00371	Supercontig_1.1	733025	733693	+	669	2515
CLUG_00372	Supercontig_1.1	734239	735087	-	849	968
CLUG_00373	Supercontig_1.1	736842	740330	+	3489	1154
CLUG_00374	Supercontig_1.1	741059	742681	+	1623	2435
CLUG_00375	Supercontig_1.1	743232	743639	+	408	1159
CLUG_00376	Supercontig_1.1	744308	745288	+	981	217
CLUG_00377	Supercontig_1.1	744353	745264	-	912	0
CLUG_00378	Supercontig_1.1	747072	748958	+	1887	942
CLUG_00379	Supercontig_1.1	749759	750394	-	636	4299
CLUG_00380	Supercontig_1.1	751358	752197	+	840	705
CLUG_00381	Supercontig_1.1	751370	752293	-	924	2758
CLUG_00382	Supercontig_1.1	753181	754161	-	981	1522
CLUG_00383	Supercontig_1.1	755831	756814	-	984	236
CLUG_00384	Supercontig_1.1	757641	758975	+	1335	3042
CLUG_00385	Supercontig_1.1	759141	760334	-	1194	2280
CLUG_00386	Supercontig_1.1	761128	761637	+	510	6853
CLUG_00387	Supercontig_1.1	761739	764378	-	2640	3148
CLUG_00388	Supercontig_1.1	764823	765449	+	627	766
CLUG_00389	Supercontig_1.1	765577	767253	-	1677	2505
CLUG_00390	Supercontig_1.1	767974	769701	-	1728	6865
CLUG_00391	Supercontig_1.1	769889	773221	-	3333	315
CLUG_00392	Supercontig_1.1	773948	777334	-	3387	2932
CLUG_00393	Supercontig_1.1	778265	779308	-	1044	2829
CLUG_00394	Supercontig_1.1	780274	782598	+	2325	1083
CLUG_00395	Supercontig_1.1	780313	782616	-	2304	8
CLUG_00396	Supercontig_1.1	784086	785192	-	1107	8737
CLUG_00397	Supercontig_1.1	787556	788431	-	876	1
CLUG_00398	Supercontig_1.1	787613	788410	+	798	0
CLUG_00399	Supercontig_1.1	788445	789254	+	810	61416
CLUG_00400	Supercontig_1.1	790032	791918	-	1887	4154
CLUG_00401	Supercontig_1.1	792068	793138	-	1071	42
CLUG_00402	Supercontig_1.1	793332	794918	-	1587	16
CLUG_00403	Supercontig_1.1	794885	797278	-	2394	11
CLUG_00404	Supercontig_1.1	798421	799779	+	1359	357
CLUG_00405	Supercontig_1.1	800822	801847	-	1026	2
CLUG_00406	Supercontig_1.1	800990	802114	+	1125	39
CLUG_00407	Supercontig_1.1	802312	802941	-	630	3437
CLUG_00408	Supercontig_1.1	803942	805243	-	1302	2131
CLUG_00409	Supercontig_1.1	805966	806706	-	741	993
CLUG_00410	Supercontig_1.1	806318	806620	+	303	0
CLUG_00411	Supercontig_1.1	807342	807914	+	573	526
CLUG_00412	Supercontig_1.1	808328	811621	-	3294	6532
CLUG_00413	Supercontig_1.1	812427	813098	+	672	23
CLUG_00414	Supercontig_1.1	814098	815327	+	1230	0
CLUG_00415	Supercontig_1.1	816599	817912	+	1314	7094
CLUG_00416	Supercontig_1.1	818570	820975	-	2406	1322
CLUG_00417	Supercontig_1.1	822960	824525	+	1566	1517
CLUG_00418	Supercontig_1.1	825460	826398	+	939	9758
CLUG_00419	Supercontig_1.1	827508	829151	+	1644	1075051
CLUG_00420	Supercontig_1.1	830696	831748	+	1053	195227
CLUG_00421	Supercontig_1.1	834313	835590	+	1278	125150
CLUG_00422	Supercontig_1.1	836461	837735	+	1275	54220
CLUG_00423	Supercontig_1.1	839040	840701	+	1662	40127
CLUG_00424	Supercontig_1.1	841824	843407	-	1584	5102
CLUG_00425	Supercontig_1.1	843646	844113	+	468	197
CLUG_00426	Supercontig_1.1	844472	847534	-	3063	1463
CLUG_00427	Supercontig_1.1	848005	849303	-	1299	714
CLUG_00428	Supercontig_1.1	849592	850449	+	858	1992
CLUG_00429	Supercontig_1.1	851128	851775	-	648	804
CLUG_00430	Supercontig_1.1	852740	853738	+	999	5934
CLUG_00431	Supercontig_1.1	853909	857307	-	3399	15343
