Geneid	Chr	Start	End	Strand	Length	L10.rep1	L10.rep2	L17.rep1	L17.rep2	U04.rep1	U04.rep2	U05.rep1	U05.rep2	U07.rep1	U07.rep2
CLUG_00048	Supercontig_1.1;Supercontig_1.1	90642;91941	91842;91987	-;-	1248	10838	1585	6809	5784	5963	4357	6443	7632	5920	6048
CLUG_00049	Supercontig_1.1	93538	95214	+	1677	7403	1093	4833	3746	6155	4606	5618	6251	5847	4786
CLUG_00050	Supercontig_1.1	95331	96704	-	1374	2109	274	1070	1002	2168	1502	1349	1492	1655	1271
CLUG_00051	Supercontig_1.1	97038	98015	-	978	1363	189	1027	924	1468	1466	999	1251	1434	1528
CLUG_00052	Supercontig_1.1	98258	102493	-	4236	6489	808	3025	2341	5108	5178	2905	4470	5333	4560
CLUG_00053	Supercontig_1.1	102696	104180	-	1485	1845	236	1112	848	1698	1474	1026	1408	1488	1472
CLUG_00054	Supercontig_1.1	104304	105779	-	1476	1521	190	1030	681	1809	1494	1042	1283	1561	1182
CLUG_00055	Supercontig_1.1	106314	107369	+	1056	5660	851	6123	4359	6833	5398	5966	6099	5790	4805
CLUG_00056	Supercontig_1.1	107653	109821	+	2169	1260	163	731	489	763	572	794	934	966	725
CLUG_00057	Supercontig_1.1	110452	112080	+	1629	3019	470	2171	1669	3032	3253	2081	2627	3096	3012
CLUG_00058	Supercontig_1.1	112228	113157	-	930	1829	240	1144	758	2316	2079	1156	1496	1972	1652
CLUG_00059	Supercontig_1.1	113380	114096	+	717	711	98	429	287	592	482	368	462	568	487
CLUG_00060	Supercontig_1.1	114559	115602	+	1044	1672	244	1080	794	1720	1355	1121	1304	1462	1228
CLUG_00061	Supercontig_1.1	116880	117839	+	960	1380	182	1200	1082	899	762	1016	1362	1122	1127
CLUG_00062	Supercontig_1.1	118750	119919	+	1170	919	130	376	205	1026	709	489	654	937	757
CLUG_00063	Supercontig_1.1	120278	123799	+	3522	3818	615	1986	1267	2226	1555	2780	2805	2219	1883
CLUG_00064	Supercontig_1.1	124132	125001	-	870	1208	166	705	415	1155	1041	628	984	1164	1013
CLUG_00065	Supercontig_1.1	125255	126289	+	1035	665	112	337	206	700	643	350	618	821	651
CLUG_00066	Supercontig_1.1	126582	128840	-	2259	1843	198	982	639	1325	1379	697	1226	1449	1246
CLUG_00067	Supercontig_1.1	128909	129421	-	513	556	57	185	132	432	382	214	348	414	336
CLUG_00068	Supercontig_1.1	129984	131234	-	1251	685	79	260	122	492	477	278	432	564	482
CLUG_00069	Supercontig_1.1	132734	134023	+	1290	1941	264	824	719	2065	1760	875	1327	1874	1458
CLUG_00070	Supercontig_1.1	134173	134976	+	804	547	68	290	184	362	310	254	357	355	328
CLUG_00071	Supercontig_1.1	135107	136420	+	1314	1673	252	1011	746	1594	1283	947	1179	1354	991
CLUG_00072	Supercontig_1.1	136494	138644	-	2151	5724	1059	4929	2414	15574	16655	7437	5163	9473	7474
CLUG_00073	Supercontig_1.1	140487	144779	-	4293	11526	1591	6856	5325	10144	9957	7176	9175	10226	9022
CLUG_00074	Supercontig_1.1	145275	146633	-	1359	5383	858	4919	3167	2190	1086	4661	4295	2028	2217
CLUG_00075	Supercontig_1.1	147130	148119	-	990	5309	1101	6141	4607	5641	4928	5116	5331	4900	4909
CLUG_00076	Supercontig_1.1	148071	148763	-	693	2540	462	2278	2084	2726	2086	2881	2831	2408	1812
CLUG_00077	Supercontig_1.1	150607	152544	+	1938	8470	1117	4697	3327	4395	3233	5679	6181	5001	4539
CLUG_00078	Supercontig_1.1	153833	154918	+	1086	8094	1651	7216	3213	27651	22569	7518	7392	16378	13805
CLUG_00079	Supercontig_1.1	155064	155483	-	420	391	43	217	224	225	145	247	256	264	198
CLUG_00080	Supercontig_1.1	155917	157935	+	2019	3780	529	2372	1887	3143	2758	2392	2805	2913	2423
CLUG_00081	Supercontig_1.1	157970	159511	-	1542	3370	451	1971	1242	2430	1664	1826	2604	2350	1921
CLUG_00082	Supercontig_1.1	159707	161170	-	1464	2385	338	1338	976	2616	1785	1828	1897	2168	1984
CLUG_00083	Supercontig_1.1	161919	163499	+	1581	2519	383	1394	1048	2498	1977	1621	1821	2566	2122
CLUG_00084	Supercontig_1.1	163680	164471	+	792	798	107	419	305	1519	1480	406	560	874	804
CLUG_00085	Supercontig_1.1	164579	165301	-	723	1599	260	1187	984	2833	2220	1146	1225	1886	1470
CLUG_00086	Supercontig_1.1	165317	166945	-	1629	14888	2520	15024	7500	8890	7014	12163	11175	8653	10119
CLUG_00087	Supercontig_1.1	167980	169956	-	1977	1662	221	1049	757	1303	1096	1035	1129	1174	1110
CLUG_00088	Supercontig_1.1	170176	173421	-	3246	2479	310	1045	765	2350	2257	1020	1583	2288	1949
CLUG_00089	Supercontig_1.1	173775	175991	+	2217	1925	171	613	437	1321	1142	626	1082	1425	996
CLUG_00090	Supercontig_1.1	176125	177135	-	1011	6550	836	4453	3567	4609	3556	3665	4745	4308	4400
CLUG_00091	Supercontig_1.1	178140	179099	-	960	650	86	460	335	722	816	368	507	695	642
CLUG_00092	Supercontig_1.1	179594	180043	+	450	2403	311	1493	1297	2325	1993	1355	1600	1997	1847
CLUG_00093	Supercontig_1.1	180843	182039	+	1197	4353	590	2882	2255	3863	3141	2778	3211	3542	3312
CLUG_00094	Supercontig_1.1	182979	183533	+	555	1791	277	2161	2166	1508	1122	1737	1723	1568	1298
CLUG_00095	Supercontig_1.1	184149	185657	+	1509	1953	288	2059	1270	1335	1114	1793	1823	1246	1249
CLUG_00096	Supercontig_1.1	185706	186737	-	1032	2250	246	988	555	2506	2165	917	1460	1968	1492
CLUG_00097	Supercontig_1.1	187035	189725	-	2691	5801	817	2966	1718	5052	4680	3290	3965	5434	3755
CLUG_00098	Supercontig_1.1	190594	191991	-	1398	1460	173	848	835	1038	722	993	1226	1079	829
CLUG_00099	Supercontig_1.1	192896	194734	+	1839	6462	1265	5175	3508	6388	4966	5040	5064	6017	5434
CLUG_00100	Supercontig_1.1	195003	195854	-	852	450	47	256	139	448	498	206	298	338	415
CLUG_00101	Supercontig_1.1	196468	197757	-	1290	1452	171	774	713	1179	1035	808	1048	1064	952
CLUG_00102	Supercontig_1.1	198246	198767	+	522	1536	216	1637	1220	1622	1523	1329	1382	1268	1371
CLUG_00103	Supercontig_1.1	200067	200873	+	807	2072	256	981	884	2401	1878	1130	1616	2098	1745
CLUG_00104	Supercontig_1.1	200940	201509	-	570	627	103	455	335	760	567	410	493	613	500
CLUG_00105	Supercontig_1.1	203136	204797	+	1662	1063	149	671	482	1822	2212	580	878	1201	1121
CLUG_00106	Supercontig_1.1	205480	208425	+	2946	1529	223	828	625	1203	993	868	1179	1251	949
CLUG_00107	Supercontig_1.1	208472	209161	-	690	864	115	560	304	773	697	451	587	677	588
CLUG_00108	Supercontig_1.1	209527	210027	-	501	527	75	333	204	1692	1966	262	394	858	780
CLUG_00109	Supercontig_1.1	210910	212751	-	1842	117	33	54	70	50	49	50	50	55	72
CLUG_00110	Supercontig_1.1	213068	213562	+	495	1106	174	641	451	1089	900	610	881	1010	823
CLUG_00111	Supercontig_1.1	213572	215308	-	1737	2287	332	1307	1043	2041	1667	1311	1627	1975	1602
CLUG_00112	Supercontig_1.1	218337	218957	-	621	5237	648	3396	2259	4279	3493	3225	3843	4120	4067
CLUG_00113	Supercontig_1.1	219483	220376	-	894	1983	238	1862	1512	1939	1480	1443	1741	1760	1544
CLUG_00114	Supercontig_1.1	220901	221587	+	687	5030	686	3261	2902	10946	10768	3719	5185	6943	5592
CLUG_00115	Supercontig_1.1	220922	221587	-	666	4389	606	2736	2552	9577	9049	3330	4671	6172	4735
CLUG_00116	Supercontig_1.1	222258	225437	+	3180	2010	355	1198	736	2240	2351	1357	1911	2424	2017
CLUG_00117	Supercontig_1.1	225983	228367	-	2385	3143	506	2252	1344	3197	3283	2352	2736	2638	2666
CLUG_00118	Supercontig_1.1	228655	230724	-	2070	4170	615	2896	1993	3473	2910	2438	2715	3249	3155
CLUG_00119	Supercontig_1.1	231288	232178	+	891	734	106	411	252	686	506	379	486	581	496
CLUG_00120	Supercontig_1.1	232513	233979	+	1467	2939	426	1381	922	2481	2173	1798	2120	2584	2230
CLUG_00121	Supercontig_1.1	234184	236247	-	2064	2406	391	1545	1036	2571	2270	1975	1965	2482	2833
CLUG_00122	Supercontig_1.1	236768	237784	-	1017	3014	383	1726	1352	2744	2122	1757	2098	2531	1802
CLUG_00123	Supercontig_1.1	238263	239360	-	1098	74319	10294	45592	36529	66463	51238	32616	51875	65352	44777
CLUG_00124	Supercontig_1.1	241828	244869	+	3042	8073	1229	4881	5500	7041	5762	5231	6100	6795	5579
CLUG_00125	Supercontig_1.1	244995	245465	-	471	725	97	392	309	2055	2183	435	584	1122	893
CLUG_00126	Supercontig_1.1	245577	246428	+	852	1000	117	596	579	2279	2506	527	815	1332	1114
CLUG_00127	Supercontig_1.1	246558	247358	-	801	876	125	562	413	933	772	609	610	793	762
CLUG_00128	Supercontig_1.1	247433	248101	+	669	314	40	169	134	338	283	130	215	276	248
CLUG_00129	Supercontig_1.1	248448	249200	+	753	2689	173	608	1125	2833	4873	540	1763	2934	3136
CLUG_00130	Supercontig_1.1	249616	250155	-	540	2454	298	1493	882	3985	4589	1250	1644	2573	2371
CLUG_00131	Supercontig_1.1	250662	253643	+	2982	2512	345	786	605	1695	1484	1154	1631	1770	1363
CLUG_00132	Supercontig_1.1	253870	254721	+	852	1069	135	471	278	801	666	630	702	866	573
CLUG_00133	Supercontig_1.1	254840	255403	+	564	753	131	424	290	659	486	454	595	678	436
CLUG_00134	Supercontig_1.1	256301	257464	-	1164	4387	570	3147	2868	4351	3501	3261	3944	3968	3960
CLUG_00135	Supercontig_1.1	257911	261987	-	4077	2511	314	891	755	2168	1985	971	1512	2106	1695
CLUG_00136	Supercontig_1.1	262184	263068	-	885	310	56	278	199	349	285	253	262	343	307
CLUG_00137	Supercontig_1.1	263192	264289	-	1098	4940	804	4708	2926	8994	8890	7072	4641	6799	8391
CLUG_00138	Supercontig_1.1	265160	266776	+	1617	4256	477	2481	1542	3817	3434	2651	3122	3365	3007
CLUG_00139	Supercontig_1.1	268882	270564	+	1683	3048	468	2185	2557	3572	3172	3124	3254	3117	2605
CLUG_00140	Supercontig_1.1	270764	271351	+	588	4572	587	3204	2870	3147	1649	4317	4902	3800	2937
CLUG_00141	Supercontig_1.1	271378	273213	-	1836	3003	414	1687	1516	2357	1869	2209	2593	2626	1963
CLUG_00142	Supercontig_1.1	273503	276331	+	2829	1549	304	939	672	1935	2204	997	1625	2077	1888
CLUG_00143	Supercontig_1.1	276397	279642	+	3246	1443	185	511	523	894	950	707	960	1184	914
CLUG_00144	Supercontig_1.1	279763	281226	+	1464	2734	335	1223	969	2269	1840	1276	1801	1982	1475
CLUG_00145	Supercontig_1.1	281556	282338	+	783	1528	195	1047	1252	1847	1304	1001	1319	1482	1258
CLUG_00146	Supercontig_1.1	282498	282935	-	438	282	39	209	135	273	206	190	223	259	176
CLUG_00147	Supercontig_1.1	283043	284203	+	1161	816	98	455	248	582	507	432	577	575	516
CLUG_00148	Supercontig_1.1	284825	285040	+	216	3351	437	2304	1535	8584	7164	2308	2903	5925	4435
CLUG_00149	Supercontig_1.1	286408	289902	+	3495	6202	735	3652	4653	4424	3672	4030	5015	4948	3844
CLUG_00150	Supercontig_1.1	289934	290362	-	429	847	66	363	813	663	766	406	595	681	494
CLUG_00151	Supercontig_1.1	291662	292117	-	456	33927	3648	41803	57965	27092	25484	21384	23092	29673	26742
CLUG_00152	Supercontig_1.1	291858	292736	+	879	80052	8823	87989	137471	66407	49215	52601	56884	74459	54693
CLUG_00153	Supercontig_1.1	292811	293890	+	1080	2432	289	1458	1240	2664	2622	1416	1835	2190	2046
CLUG_00154	Supercontig_1.1	294331	295437	-	1107	939	121	408	298	955	711	501	628	904	630
CLUG_00155	Supercontig_1.1	296001	297074	+	1074	2478	342	1304	1012	2469	2198	1199	1632	2012	1800
CLUG_00156	Supercontig_1.1	297199	299322	-	2124	677	88	420	162	325	433	541	681	698	842
CLUG_00157	Supercontig_1.1	299898	300494	-	597	1239	166	15001	17975	4533	5400	5354	4784	3201	2176
CLUG_00158	Supercontig_1.1	300898	302001	-	1104	2313	294	1751	2152	2712	2387	1479	1939	2307	1907
CLUG_00159	Supercontig_1.1	302640	302984	-	345	2508	270	1421	1422	3906	4576	1278	1817	3060	2744
CLUG_00160	Supercontig_1.1	303147	308459	-	5313	7527	1153	3851	3256	5052	4444	4797	6174	5343	4134
CLUG_00161	Supercontig_1.1	309090	309344	-	255	224	51	174	116	232	180	163	187	270	169
CLUG_00162	Supercontig_1.1	309763	311703	-	1941	1271	188	797	524	1109	980	888	1043	1212	1051
CLUG_00163	Supercontig_1.1	312946	314676	+	1731	2233	361	2608	1293	9305	11408	2033	2371	2809	2808
CLUG_00164	Supercontig_1.1	315320	317425	+	2106	1169	138	607	412	778	593	740	926	873	798
CLUG_00165	Supercontig_1.1	317672	320599	+	2928	2128	330	1205	769	2132	2293	1168	1799	2394	2074
CLUG_00166	Supercontig_1.1	321399	324881	+	3483	9077	1298	4657	4444	5514	4616	5431	6626	7158	6625
CLUG_00167	Supercontig_1.1	325196	325618	+	423	693	116	397	310	772	738	398	507	670	607
CLUG_00168	Supercontig_1.1	326287	327861	+	1575	3496	464	1821	1541	3074	2710	1712	2188	2672	2260
CLUG_00169	Supercontig_1.1	328836	329915	+	1080	3036	399	1562	1056	1903	1653	1477	1908	1892	1667
CLUG_00170	Supercontig_1.1	331505	333535	+	2031	30606	4145	22656	14962	27367	25131	23087	23199	23092	21012
CLUG_00171	Supercontig_1.1	333938	334984	-	1047	46255	5149	44769	31428	23271	27938	28380	30612	20959	22819
CLUG_00172	Supercontig_1.1	337926	339587	-	1662	440	61	633	1210	203	218	698	958	303	355
CLUG_00173	Supercontig_1.1	339667	340134	-	468	131	18	131	365	55	42	215	293	95	84
CLUG_00174	Supercontig_1.1	340228	341355	+	1128	2396	151	509	1265	149	176	716	1401	250	288
CLUG_00175	Supercontig_1.1	341445	342698	+	1254	3291	190	658	1542	176	199	886	1801	337	375
CLUG_00176	Supercontig_1.1	344260	345711	-	1452	79501	5718	31346	49793	45332	40483	38821	58977	41354	25731
CLUG_00177	Supercontig_1.1	347815	349350	+	1536	8992	1485	6601	5605	11511	8793	8761	8818	9758	8301
CLUG_00178	Supercontig_1.1	350485	351861	+	1377	37720	5062	32727	20373	58702	48337	29311	32426	42889	37330
CLUG_00179	Supercontig_1.1	352779	355868	+	3090	18641	4202	8194	3348	26244	15368	26755	26966	25356	15210
CLUG_00180	Supercontig_1.1	357124	358230	+	1107	2072	269	1307	943	909	676	1094	1320	1383	1280
CLUG_00181	Supercontig_1.1	359036	359938	+	903	1196	182	644	1097	1041	819	657	866	962	631
CLUG_00182	Supercontig_1.1	361174	361605	+	432	421	54	209	167	1067	1207	212	312	671	625
CLUG_00183	Supercontig_1.1	362173	364440	-	2268	5589	740	2965	3776	5147	5122	4000	5200	5609	5914
CLUG_00184	Supercontig_1.1	365541	366821	-	1281	1359	177	736	459	1189	1654	634	948	1005	1399
CLUG_00185	Supercontig_1.1	368136	369476	+	1341	558	115	417	243	691	846	395	489	663	814
CLUG_00186	Supercontig_1.1	370242	370898	+	657	893	144	462	320	875	690	477	703	894	749
CLUG_00187	Supercontig_1.1	371174	371827	-	654	2483	340	1076	816	1844	2153	1057	1345	1815	1806
CLUG_00188	Supercontig_1.1	371453	371992	+	540	1135	161	485	383	824	1015	527	583	797	838
CLUG_00189	Supercontig_1.1	372603	373259	+	657	2894	322	1653	1044	2736	2721	1473	1907	2433	2479
CLUG_00190	Supercontig_1.1	373720	374346	-	627	1923	148	699	768	2102	2928	495	1028	1675	1931
CLUG_00191	Supercontig_1.1	376794	377327	+	534	2757	351	1713	2306	1513	1264	2188	2253	1787	1487
CLUG_00192	Supercontig_1.1	377513	379465	-	1953	1907	266	1263	1050	1699	1767	1241	1628	1632	1474
CLUG_00193	Supercontig_1.1	380451	381893	-	1443	2048	277	946	586	1230	886	1043	1316	1210	1068
CLUG_00194	Supercontig_1.1	381973	383442	-	1470	135	32	153	94	141	94	104	106	68	122
CLUG_00195	Supercontig_1.1	385283	387031	+	1749	2282	406	1428	989	2446	2109	1678	1900	2207	1915
CLUG_00196	Supercontig_1.1	388135	392499	-	4365	4370	711	3211	2172	5732	7795	3139	3717	5172	5800
CLUG_00197	Supercontig_1.1	392591	396217	-	3627	1854	302	730	772	1987	2313	1441	1663	2035	1617
CLUG_00198	Supercontig_1.1	396992	397672	+	681	770	105	326	200	778	656	358	500	640	632
CLUG_00199	Supercontig_1.1	398138	398845	-	708	47174	5212	30501	22948	25461	21607	28253	38484	23517	17775
CLUG_00200	Supercontig_1.1	399222	399776	+	555	18	10	16	16	12	18	16	16	10	15
CLUG_00201	Supercontig_1.1	400899	405125	+	4227	3013	408	1302	657	1482	1282	1163	1758	1875	1384
CLUG_00202	Supercontig_1.1	405611	406066	+	456	1750	246	1211	1429	1271	828	1218	1298	1307	1009
CLUG_00203	Supercontig_1.1	407123	408253	+	1131	10965	1465	9011	8623	8455	5252	8848	9712	8423	6776
CLUG_00204	Supercontig_1.1	408955	409992	+	1038	14121	2631	15935	7127	11422	6587	12429	11009	8667	8026
CLUG_00205	Supercontig_1.1	410755	412602	+	1848	2705	391	2435	2235	2305	2072	2363	2675	2455	2203
CLUG_00206	Supercontig_1.1	412791	413579	+	789	4306	585	3724	2224	9473	10329	2996	3937	6660	6559
CLUG_00207	Supercontig_1.1	414569	416347	+	1779	3138	466	2094	1594	1811	1302	2019	2614	2140	1816
CLUG_00208	Supercontig_1.1	418924	420453	+	1530	9969	1222	4871	4218	5904	4357	5360	6728	7057	4589
CLUG_00209	Supercontig_1.1	421327	422364	+	1038	4173	502	2820	2214	3557	3431	2595	3017	2908	3326
CLUG_00210	Supercontig_1.1	423401	425182	+	1782	3052	424	1532	1116	2755	2139	1632	2185	2583	1851
CLUG_00211	Supercontig_1.1	425533	427863	+	2331	3974	579	2382	1490	3102	2866	2376	3018	3162	2857
CLUG_00212	Supercontig_1.1	428212	429516	+	1305	3880	617	2894	3191	2136	1917	2787	3184	2838	3288
CLUG_00213	Supercontig_1.1	430078	431499	+	1422	1585	206	877	688	1536	1264	897	1206	1480	1213
CLUG_00214	Supercontig_1.1	431640	433583	+	1944	1811	232	1158	743	1488	1332	1013	1412	1444	1485
CLUG_00215	Supercontig_1.1	434218	435630	+	1413	3891	496	2381	1488	2895	2950	1876	2760	2725	3061
CLUG_00216	Supercontig_1.1	436585	437484	-	900	1239	166	836	685	1034	918	759	924	970	926
CLUG_00217	Supercontig_1.1	437704	438393	-	690	1285	149	1058	1393	1049	772	995	1294	1079	986
CLUG_00218	Supercontig_1.1	438942	439670	-	729	1949	88	1300	799	78	86	6899	9643	663	345
CLUG_00219	Supercontig_1.1	440575	443265	-	2691	3241	318	1288	1615	1964	2382	1499	2446	2472	2242
CLUG_00220	Supercontig_1.1	443009	444760	-	1752	924	89	263	383	479	633	431	676	575	535
CLUG_00221	Supercontig_1.1	446487	449246	+	2760	22732	3501	16387	12261	15164	10006	17139	19288	14787	13784
CLUG_00222	Supercontig_1.1	446657	447508	-	852	5980	967	3851	3105	4097	2790	4716	5233	4009	3523
CLUG_00223	Supercontig_1.1	449478	450782	-	1305	32910	4360	31001	20267	25659	28339	32532	31781	32098	46716
CLUG_00224	Supercontig_1.1	452139	453389	-	1251	1003	191	598	351	1128	1130	684	969	1196	892
CLUG_00225	Supercontig_1.1	454245	455702	+	1458	1463	168	854	629	935	661	950	1235	1146	994
CLUG_00226	Supercontig_1.1	455880	456851	+	972	1800	239	1018	704	4610	5398	866	1288	2484	2614
CLUG_00227	Supercontig_1.1	457165	458709	+	1545	1956	285	1203	696	1583	1379	1156	1351	1467	1330
CLUG_00228	Supercontig_1.1	459052	459537	+	486	666	77	392	411	468	450	323	391	388	372
CLUG_00229	Supercontig_1.1	459586	460182	-	597	2295	247	1163	1654	2327	1563	1350	1729	2165	1511
CLUG_00230	Supercontig_1.1	460293	462083	-	1791	2057	243	936	889	1592	1207	969	1470	1519	1310
CLUG_00231	Supercontig_1.1	462145	462687	+	543	636	83	342	245	487	324	364	406	452	421
CLUG_00232	Supercontig_1.1	463143	463535	-	393	1042	120	615	482	959	659	521	681	817	602
CLUG_00233	Supercontig_1.1	464203	465207	-	1005	2454	281	1492	1210	1352	1050	1320	1518	1459	1400
CLUG_00234	Supercontig_1.1	466119	467933	-	1815	5712	612	6767	5958	4408	3735	5544	6924	5544	6030
CLUG_00235	Supercontig_1.1	469940	471283	+	1344	2704	363	1403	722	2244	4266	1608	2025	1711	2053
CLUG_00236	Supercontig_1.1	469991	470791	-	801	639	101	359	175	581	1174	398	515	439	541
CLUG_00237	Supercontig_1.1	470545	471027	-	483	851	103	430	213	648	1183	496	661	538	588
CLUG_00238	Supercontig_1.1	471201	472376	+	1176	2942	359	1477	772	2693	3787	1976	2241	2074	2019
CLUG_00239	Supercontig_1.1	472225	473172	+	948	4054	535	2130	1196	3804	4839	2734	3086	3036	2852
CLUG_00240	Supercontig_1.1	473181	474443	-	1263	1793	250	1059	815	1315	1151	1527	1419	1066	767
CLUG_00241	Supercontig_1.1	474858	475748	-	891	359	85	161	173	177	181	421	393	164	84
CLUG_00242	Supercontig_1.1	476801	478303	-	1503	176806	18101	65857	65908	95111	62289	88479	121145	75599	61259
CLUG_00243	Supercontig_1.1	481208	481648	+	441	239	33	152	105	202	177	130	206	241	246
CLUG_00244	Supercontig_1.1	482299	483768	-	1470	3407	400	1059	365	1800	1323	1055	1629	1948	1424
CLUG_00245	Supercontig_1.1	484446	485537	+	1092	1769	228	924	540	2021	1902	741	1063	1571	1469
CLUG_00246	Supercontig_1.1	487122	488261	-	1140	4111	495	2384	2267	1891	1613	2181	2921	1921	2117
CLUG_00247	Supercontig_1.1	490035	491276	+	1242	947	37	51	56	180	67	48	108	165	158
CLUG_00248	Supercontig_1.1	491665	493323	+	1659	1796	225	839	540	1765	1549	960	1250	1186	974
CLUG_00249	Supercontig_1.1	494561	495916	-	1356	792	124	590	378	695	577	548	593	686	565
CLUG_00250	Supercontig_1.1	496331	497194	-	864	5110	629	3366	2418	4615	3906	2915	3611	3879	3492
CLUG_00251	Supercontig_1.1	497485	498942	+	1458	1101	158	600	476	1037	823	556	756	927	720
CLUG_00252	Supercontig_1.1	499003	500058	-	1056	836	139	603	384	768	619	491	646	740	575
