# Program:featureCounts v1.6.0; Command:"featureCounts" "-g" "gene_id" "-T" "8" "-G" "genome/candida_lusitaniae_ATCC42720_w_CBS_6936_MT.fasta" "-s" "1" "-a" "genome/candida_lusitaniae_1_transcripts.gtf" "--tmpDir" "/scratch" "-o" "results/featureCounts/U5C_benomyl.r2.gsnap_reads.tab" "-F" "GTF" "aln/U5C_benomyl.r2.gsnap.bam" 
Geneid	Chr	Start	End	Strand	Length	aln/U5C_benomyl.r2.gsnap.bam
CLUG_00122	Supercontig_1.1	236768	237784	-	1017	156
CLUG_00123	Supercontig_1.1	238263	239360	-	1098	2493
CLUG_00124	Supercontig_1.1	241828	244869	+	3042	1741
CLUG_00125	Supercontig_1.1	244995	245465	-	471	682
CLUG_00126	Supercontig_1.1	245577	246428	+	852	447
CLUG_00127	Supercontig_1.1	246558	247358	-	801	527
CLUG_00128	Supercontig_1.1	247433	248101	+	669	283
CLUG_00129	Supercontig_1.1	248448	249200	+	753	2796
CLUG_00130	Supercontig_1.1	249616	250155	-	540	6440
CLUG_00131	Supercontig_1.1	250662	253643	+	2982	2493
CLUG_00132	Supercontig_1.1	253870	254721	+	852	958
CLUG_00133	Supercontig_1.1	254840	255403	+	564	1197
CLUG_00134	Supercontig_1.1	256301	257464	-	1164	6279
CLUG_00135	Supercontig_1.1	257911	261987	-	4077	19417
CLUG_00136	Supercontig_1.1	262184	263068	-	885	7746
CLUG_00137	Supercontig_1.1	263192	264289	-	1098	60656
CLUG_00138	Supercontig_1.1	265160	266776	+	1617	3297
CLUG_00139	Supercontig_1.1	268882	270564	+	1683	343
CLUG_00140	Supercontig_1.1	270764	271351	+	588	748
CLUG_00141	Supercontig_1.1	271378	273213	-	1836	3428
CLUG_00142	Supercontig_1.1	273503	276331	+	2829	2749
CLUG_00143	Supercontig_1.1	276397	279642	+	3246	740
CLUG_00144	Supercontig_1.1	279763	281226	+	1464	841
CLUG_00145	Supercontig_1.1	281556	282338	+	783	249
CLUG_00146	Supercontig_1.1	282498	282935	-	438	61
CLUG_00147	Supercontig_1.1	283043	284203	+	1161	55
CLUG_00148	Supercontig_1.1	284825	285040	+	216	10745
CLUG_00149	Supercontig_1.1	286408	289902	+	3495	157
CLUG_00150	Supercontig_1.1	289934	290362	-	429	17
CLUG_00151	Supercontig_1.1	291662	292117	-	456	5067
CLUG_00152	Supercontig_1.1	291858	292736	+	879	11852
CLUG_00153	Supercontig_1.1	292811	293890	+	1080	1067
CLUG_00154	Supercontig_1.1	294331	295437	-	1107	242
CLUG_00155	Supercontig_1.1	296001	297074	+	1074	2912
CLUG_00156	Supercontig_1.1	297199	299322	-	2124	159
CLUG_00157	Supercontig_1.1	299898	300494	-	597	8371
CLUG_00158	Supercontig_1.1	300898	302001	-	1104	5463
CLUG_00159	Supercontig_1.1	302640	302984	-	345	7388
CLUG_00160	Supercontig_1.1	303147	308459	-	5313	5749
CLUG_00161	Supercontig_1.1	309090	309344	-	255	216
CLUG_00162	Supercontig_1.1	309763	311703	-	1941	960
CLUG_00163	Supercontig_1.1	312946	314676	+	1731	50456
CLUG_00164	Supercontig_1.1	315320	317425	+	2106	1090
CLUG_00165	Supercontig_1.1	317672	320599	+	2928	2748
CLUG_00166	Supercontig_1.1	321399	324881	+	3483	621
CLUG_00167	Supercontig_1.1	325196	325618	+	423	1078
CLUG_00168	Supercontig_1.1	326287	327861	+	1575	1856
CLUG_00169	Supercontig_1.1	328836	329915	+	1080	868
CLUG_00170	Supercontig_1.1	331505	333535	+	2031	49697
CLUG_00171	Supercontig_1.1	333938	334984	-	1047	319
CLUG_00172	Supercontig_1.1	337926	339587	-	1662	228
CLUG_00173	Supercontig_1.1	339667	340134	-	468	50
CLUG_00174	Supercontig_1.1	340228	341355	+	1128	168
CLUG_00175	Supercontig_1.1	341445	342698	+	1254	164
CLUG_00176	Supercontig_1.1	344260	345711	-	1452	3304
CLUG_00177	Supercontig_1.1	347815	349350	+	1536	3073
CLUG_00178	Supercontig_1.1	350485	351861	+	1377	91612
CLUG_00179	Supercontig_1.1	352779	355868	+	3090	568
CLUG_00180	Supercontig_1.1	357124	358230	+	1107	279
CLUG_00181	Supercontig_1.1	359036	359938	+	903	211
CLUG_00182	Supercontig_1.1	361174	361605	+	432	1068
CLUG_00183	Supercontig_1.1	362173	364440	-	2268	14787
CLUG_00184	Supercontig_1.1	365541	366821	-	1281	60
CLUG_00185	Supercontig_1.1	368136	369476	+	1341	1231
CLUG_00186	Supercontig_1.1	370242	370898	+	657	657
CLUG_00187	Supercontig_1.1	371174	371827	-	654	94
CLUG_00188	Supercontig_1.1	371453	371992	+	540	55
CLUG_00189	Supercontig_1.1	372603	373259	+	657	208
CLUG_00190	Supercontig_1.1	373720	374346	-	627	3198
CLUG_00191	Supercontig_1.1	376794	377327	+	534	109
CLUG_00192	Supercontig_1.1	377513	379465	-	1953	437
CLUG_00193	Supercontig_1.1	380451	381893	-	1443	234
CLUG_00194	Supercontig_1.1	381973	383442	-	1470	226
CLUG_00195	Supercontig_1.1	385283	387031	+	1749	593
CLUG_00196	Supercontig_1.1	388135	392499	-	4365	5648
CLUG_00197	Supercontig_1.1	392591	396217	-	3627	710
CLUG_00198	Supercontig_1.1	396992	397672	+	681	81
CLUG_00199	Supercontig_1.1	398138	398845	-	708	83
CLUG_00200	Supercontig_1.1	399222	399776	+	555	45
CLUG_00201	Supercontig_1.1	400899	405125	+	4227	255
CLUG_00202	Supercontig_1.1	405611	406066	+	456	81
CLUG_00203	Supercontig_1.1	407123	408253	+	1131	86
CLUG_00204	Supercontig_1.1	408955	409992	+	1038	154
CLUG_00205	Supercontig_1.1	410755	412602	+	1848	260
CLUG_00206	Supercontig_1.1	412791	413579	+	789	15238
CLUG_00207	Supercontig_1.1	414569	416347	+	1779	225
CLUG_00208	Supercontig_1.1	418924	420453	+	1530	470
CLUG_00209	Supercontig_1.1	421327	422364	+	1038	4636
CLUG_00210	Supercontig_1.1	423401	425182	+	1782	1268
CLUG_00211	Supercontig_1.1	425533	427863	+	2331	422
CLUG_00212	Supercontig_1.1	428212	429516	+	1305	455
CLUG_00213	Supercontig_1.1	430078	431499	+	1422	655
CLUG_00214	Supercontig_1.1	431640	433583	+	1944	191
CLUG_00215	Supercontig_1.1	434218	435630	+	1413	253
CLUG_00216	Supercontig_1.1	436585	437484	-	900	1986
CLUG_00217	Supercontig_1.1	437704	438393	-	690	47
CLUG_00218	Supercontig_1.1	438942	439670	-	729	164
CLUG_00219	Supercontig_1.1	440575	443265	-	2691	81
CLUG_00220	Supercontig_1.1	443009	444760	-	1752	13
CLUG_00221	Supercontig_1.1	446487	449246	+	2760	4474
CLUG_00222	Supercontig_1.1	446657	447508	-	852	1180
CLUG_00223	Supercontig_1.1	449478	450782	-	1305	76
CLUG_00224	Supercontig_1.1	452139	453389	-	1251	2392
CLUG_00225	Supercontig_1.1	454245	455702	+	1458	138
CLUG_00226	Supercontig_1.1	455880	456851	+	972	1550
CLUG_00227	Supercontig_1.1	457165	458709	+	1545	765
CLUG_00228	Supercontig_1.1	459052	459537	+	486	216
CLUG_00229	Supercontig_1.1	459586	460182	-	597	129
CLUG_00230	Supercontig_1.1	460293	462083	-	1791	183
CLUG_00231	Supercontig_1.1	462145	462687	+	543	54
CLUG_00232	Supercontig_1.1	463143	463535	-	393	709
CLUG_00233	Supercontig_1.1	464203	465207	-	1005	2728
CLUG_00234	Supercontig_1.1	466119	467933	-	1815	499
CLUG_00235	Supercontig_1.1	469940	471283	+	1344	4046
CLUG_00236	Supercontig_1.1	469991	470791	-	801	1157
CLUG_00237	Supercontig_1.1	470545	471027	-	483	1102
CLUG_00238	Supercontig_1.1	471201	472376	+	1176	4042
CLUG_00239	Supercontig_1.1	472225	473172	+	948	5582
CLUG_00240	Supercontig_1.1	473181	474443	-	1263	1430
CLUG_00241	Supercontig_1.1	474858	475748	-	891	271
CLUG_00242	Supercontig_1.1	476801	478303	-	1503	26941
CLUG_00243	Supercontig_1.1	481208	481648	+	441	98
CLUG_00244	Supercontig_1.1	482299	483768	-	1470	132
CLUG_00245	Supercontig_1.1	484446	485537	+	1092	125
CLUG_00246	Supercontig_1.1	487122	488261	-	1140	664
CLUG_00247	Supercontig_1.1	490035	491276	+	1242	165
CLUG_00248	Supercontig_1.1	491665	493323	+	1659	215
CLUG_00249	Supercontig_1.1	494561	495916	-	1356	94
CLUG_00250	Supercontig_1.1	496331	497194	-	864	980
CLUG_00251	Supercontig_1.1	497485	498942	+	1458	598
CLUG_00252	Supercontig_1.1	499003	500058	-	1056	188
CLUG_00253	Supercontig_1.1	500122	502434	-	2313	246
CLUG_00254	Supercontig_1.1	502819	503424	-	606	1140
CLUG_00255	Supercontig_1.1	503752	504939	+	1188	251
CLUG_00256	Supercontig_1.1	505194	506396	+	1203	3141
CLUG_00257	Supercontig_1.1	506423	507166	-	744	2686
CLUG_00258	Supercontig_1.1	507716	509701	+	1986	1808
CLUG_00259	Supercontig_1.1	509924	511276	+	1353	90
CLUG_00260	Supercontig_1.1	511661	515485	+	3825	1724
CLUG_00261	Supercontig_1.1	515953	517836	+	1884	1163
CLUG_00262	Supercontig_1.1	518092	519123	+	1032	349
CLUG_00263	Supercontig_1.1	520004	521815	-	1812	1960
CLUG_00264	Supercontig_1.1	522909	525350	+	2442	2644
CLUG_00265	Supercontig_1.1	525648	526526	-	879	2389
CLUG_00266	Supercontig_1.1	527173	529434	+	2262	6457
CLUG_00267	Supercontig_1.1	529589	530884	-	1296	404
CLUG_00268	Supercontig_1.1	531662	532117	+	456	4149
CLUG_00269	Supercontig_1.1	532104	534128	+	2025	13145
CLUG_00270	Supercontig_1.1	534181	535143	+	963	6989
CLUG_00271	Supercontig_1.1	535196	536515	-	1320	18463
CLUG_00272	Supercontig_1.1	537200	538075	+	876	751
CLUG_00273	Supercontig_1.1	538164	539036	-	873	5040
CLUG_00274	Supercontig_1.1	539780	540349	+	570	1142
CLUG_00275	Supercontig_1.1	540542	541210	+	669	812
CLUG_00276	Supercontig_1.1	540742	541572	-	831	1030
CLUG_00277	Supercontig_1.1	542289	544766	+	2478	950
CLUG_00278	Supercontig_1.1	547075	548322	+	1248	27206
CLUG_00279	Supercontig_1.1	548530	549132	-	603	281
CLUG_00280	Supercontig_1.1	549445	550656	+	1212	853
CLUG_00281	Supercontig_1.1	550710	553238	-	2529	405
CLUG_00282	Supercontig_1.1	553791	555200	-	1410	1946
CLUG_00283	Supercontig_1.1	556869	558854	-	1986	813
CLUG_00284	Supercontig_1.1	559741	560379	-	639	2132
CLUG_00285	Supercontig_1.1	560486	562183	-	1698	1225
CLUG_00286	Supercontig_1.1	562526	563593	-	1068	6856
CLUG_00287	Supercontig_1.1	565044	567095	+	2052	4447
CLUG_00288	Supercontig_1.1	567254	568999	+	1746	1576
CLUG_00289	Supercontig_1.1	569087	570019	-	933	684
CLUG_00290	Supercontig_1.1	570075	571079	-	1005	899
CLUG_00291	Supercontig_1.1	572078	573100	+	1023	1210
CLUG_00292	Supercontig_1.1	573550	574227	+	678	1327
CLUG_00293	Supercontig_1.1	574453	576690	+	2238	3664
CLUG_00294	Supercontig_1.1	577236	577565	+	330	190
CLUG_00295	Supercontig_1.1	577877	578197	-	321	4263
CLUG_00296	Supercontig_1.1	579830	582631	-	2802	1042
CLUG_00297	Supercontig_1.1	583089	584006	-	918	201
CLUG_00298	Supercontig_1.1	584784	586319	+	1536	601
CLUG_00299	Supercontig_1.1	586474	586908	-	435	1464
CLUG_00300	Supercontig_1.1	587726	589042	+	1317	335
CLUG_00301	Supercontig_1.1	589384	590535	-	1152	342
CLUG_00302	Supercontig_1.1	590728	592365	+	1638	357
CLUG_00303	Supercontig_1.1	593700	594974	+	1275	52
CLUG_00304	Supercontig_1.1	595266	597005	-	1740	141
CLUG_00305	Supercontig_1.1	598008	600170	-	2163	457
CLUG_00306	Supercontig_1.1	601065	601526	+	462	60
CLUG_00307	Supercontig_1.1	601672	602358	+	687	1226
CLUG_00308	Supercontig_1.1	602643	603233	-	591	214
CLUG_00309	Supercontig_1.1	603574	606087	-	2514	485
CLUG_00310	Supercontig_1.1	606641	607216	+	576	73
CLUG_00311	Supercontig_1.1	607327	609615	+	2289	358
CLUG_00312	Supercontig_1.1	610025	611173	-	1149	94
CLUG_00313	Supercontig_1.1	612397	613911	-	1515	67
CLUG_00314	Supercontig_1.1	616811	618907	+	2097	294
CLUG_00315	Supercontig_1.1	620650	621789	+	1140	85
CLUG_00316	Supercontig_1.1	621867	623528	-	1662	150
CLUG_00317	Supercontig_1.1	624265	631167	-	6903	96
CLUG_00318	Supercontig_1.1	632354	633676	+	1323	557
CLUG_00319	Supercontig_1.1	634086	635291	-	1206	80
CLUG_00320	Supercontig_1.1	635551	637884	+	2334	131
CLUG_00321	Supercontig_1.1	638884	639708	+	825	22681
CLUG_00322	Supercontig_1.1	640251	641945	-	1695	2274
CLUG_00323	Supercontig_1.1	642990	644783	-	1794	4154
CLUG_00324	Supercontig_1.1	645758	647113	-	1356	483
CLUG_00325	Supercontig_1.1	647827	648666	+	840	214
CLUG_00326	Supercontig_1.1	647926	648855	-	930	217
CLUG_00327	Supercontig_1.1	649140	652160	-	3021	674
CLUG_00328	Supercontig_1.1	652363	654399	-	2037	242
CLUG_00329	Supercontig_1.1	654735	655187	+	453	314
CLUG_00330	Supercontig_1.1	655314	658691	-	3378	390
CLUG_00331	Supercontig_1.1	659677	663540	-	3864	1518
CLUG_00332	Supercontig_1.1	664287	664919	+	633	508
CLUG_00333	Supercontig_1.1	665275	665967	-	693	369
CLUG_00334	Supercontig_1.1	667328	668287	+	960	1215
CLUG_00335	Supercontig_1.1	668509	671400	+	2892	4146
CLUG_00336	Supercontig_1.1	671652	672215	+	564	972
CLUG_00337	Supercontig_1.1	673493	674152	+	660	1263
CLUG_00338	Supercontig_1.1	674203	675783	-	1581	2202
CLUG_00339	Supercontig_1.1	676445	678100	+	1656	1990
CLUG_00340	Supercontig_1.1	678183	678896	-	714	10910
CLUG_00341	Supercontig_1.1	680113	681822	+	1710	812
CLUG_00342	Supercontig_1.1	682583	683449	+	867	1045
CLUG_00343	Supercontig_1.1	683898	685151	-	1254	54
CLUG_00344	Supercontig_1.1	685565	686815	+	1251	35
CLUG_00345	Supercontig_1.1	686861	687490	-	630	1413
CLUG_00346	Supercontig_1.1	688087	690522	-	2436	427
CLUG_00347	Supercontig_1.1	691857	694151	+	2295	1215
CLUG_00348	Supercontig_1.1	694187	695281	-	1095	784
CLUG_00349	Supercontig_1.1	695581	697263	+	1683	2318
CLUG_00350	Supercontig_1.1	697388	698983	-	1596	1388
CLUG_00351	Supercontig_1.1	699337	700359	+	1023	181
CLUG_00352	Supercontig_1.1	701669	703423	+	1755	156
CLUG_00353	Supercontig_1.1	704174	704758	+	585	1032
CLUG_00354	Supercontig_1.1	704879	705334	-	456	36
CLUG_00355	Supercontig_1.1	706583	707050	-	468	1
CLUG_00356	Supercontig_1.1	706603	707319	-	717	8
CLUG_00357	Supercontig_1.1	709109	711304	+	2196	415
CLUG_00358	Supercontig_1.1	713916	714806	-	891	169
CLUG_00359	Supercontig_1.1	713940	714866	+	927	133
CLUG_00360	Supercontig_1.1	714697	715233	+	537	68
CLUG_00361	Supercontig_1.1	717222	718220	+	999	12010
CLUG_00362	Supercontig_1.1	718693	719241	+	549	599
CLUG_00363	Supercontig_1.1	718720	719184	-	465	2169
CLUG_00364	Supercontig_1.1	718841	719323	+	483	0
CLUG_00365	Supercontig_1.1	719247	719741	+	495	15
CLUG_00366	Supercontig_1.1	720850	721512	-	663	719
CLUG_00367	Supercontig_1.1	722638	725727	-	3090	630
CLUG_00368	Supercontig_1.1	727279	728745	+	1467	110
CLUG_00369	Supercontig_1.1	729189	730088	-	900	20
CLUG_00370	Supercontig_1.1	730677	731747	+	1071	206
CLUG_00371	Supercontig_1.1	733025	733693	+	669	398
CLUG_00372	Supercontig_1.1	734239	735087	-	849	552
CLUG_00373	Supercontig_1.1	736842	740330	+	3489	1307
CLUG_00374	Supercontig_1.1	741059	742681	+	1623	569
CLUG_00375	Supercontig_1.1	743232	743639	+	408	361
CLUG_00376	Supercontig_1.1	744308	745288	+	981	1069
CLUG_00377	Supercontig_1.1	744353	745264	-	912	1098
CLUG_00378	Supercontig_1.1	747072	748958	+	1887	4805
CLUG_00379	Supercontig_1.1	749759	750394	-	636	2431
CLUG_00380	Supercontig_1.1	751358	752197	+	840	53947
CLUG_00381	Supercontig_1.1	751370	752293	-	924	56972
CLUG_00382	Supercontig_1.1	753181	754161	-	981	2850
CLUG_00383	Supercontig_1.1	755831	756814	-	984	3147
CLUG_00384	Supercontig_1.1	757641	758975	+	1335	4847
CLUG_00385	Supercontig_1.1	759141	760334	-	1194	3129
CLUG_00386	Supercontig_1.1	761128	761637	+	510	2122
CLUG_00387	Supercontig_1.1	761739	764378	-	2640	206
CLUG_00388	Supercontig_1.1	764823	765449	+	627	279
CLUG_00389	Supercontig_1.1	765577	767253	-	1677	324
CLUG_00390	Supercontig_1.1	767974	769701	-	1728	18712
CLUG_00391	Supercontig_1.1	769889	773221	-	3333	238
CLUG_00392	Supercontig_1.1	773948	777334	-	3387	2102
CLUG_00393	Supercontig_1.1	778265	779308	-	1044	1180
CLUG_00394	Supercontig_1.1	780274	782598	+	2325	6336
CLUG_00395	Supercontig_1.1	780313	782616	-	2304	6656
CLUG_00396	Supercontig_1.1	784086	785192	-	1107	1379
CLUG_00397	Supercontig_1.1	787556	788431	-	876	6229
CLUG_00398	Supercontig_1.1	787613	788410	+	798	6174
CLUG_00399	Supercontig_1.1	788445	789254	+	810	7110
CLUG_00400	Supercontig_1.1	790032	791918	-	1887	751
CLUG_00401	Supercontig_1.1	792068	793138	-	1071	1
CLUG_00402	Supercontig_1.1	793332	794918	-	1587	6
CLUG_00403	Supercontig_1.1	794885	797278	-	2394	5
CLUG_00404	Supercontig_1.1	798421	799779	+	1359	323
CLUG_00405	Supercontig_1.1	800822	801847	-	1026	498
CLUG_00406	Supercontig_1.1	800990	802114	+	1125	464
CLUG_00407	Supercontig_1.1	802312	802941	-	630	680
CLUG_00408	Supercontig_1.1	803942	805243	-	1302	1772
CLUG_00409	Supercontig_1.1	805966	806706	-	741	940
CLUG_00410	Supercontig_1.1	806318	806620	+	303	367
CLUG_00411	Supercontig_1.1	807342	807914	+	573	20
CLUG_00412	Supercontig_1.1	808328	811621	-	3294	364
CLUG_00413	Supercontig_1.1	812427	813098	+	672	6
CLUG_00414	Supercontig_1.1	814098	815327	+	1230	0
CLUG_00415	Supercontig_1.1	816599	817912	+	1314	8373
CLUG_00416	Supercontig_1.1	818570	820975	-	2406	2636
CLUG_00417	Supercontig_1.1	822960	824525	+	1566	83
CLUG_00418	Supercontig_1.1	825460	826398	+	939	79
CLUG_00419	Supercontig_1.1	827508	829151	+	1644	13966
CLUG_00420	Supercontig_1.1	830696	831748	+	1053	3529
CLUG_00421	Supercontig_1.1	834313	835590	+	1278	910
CLUG_00422	Supercontig_1.1	836461	837735	+	1275	9426
CLUG_00423	Supercontig_1.1	839040	840701	+	1662	2386
CLUG_00424	Supercontig_1.1	841824	843407	-	1584	434
CLUG_00425	Supercontig_1.1	843646	844113	+	468	74
CLUG_00426	Supercontig_1.1	844472	847534	-	3063	568
CLUG_00427	Supercontig_1.1	848005	849303	-	1299	119
CLUG_00428	Supercontig_1.1	849592	850449	+	858	951
CLUG_00429	Supercontig_1.1	851128	851775	-	648	87
CLUG_00430	Supercontig_1.1	852740	853738	+	999	2161
CLUG_00431	Supercontig_1.1	853909	857307	-	3399	13165
CLUG_00432	Supercontig_1.1	858373	858939	+	567	63
CLUG_00433	Supercontig_1.1	859545	862304	-	2760	1965
CLUG_00434	Supercontig_1.1	862649	864376	-	1728	292
CLUG_00435	Supercontig_1.1	866068	867222	-	1155	342
CLUG_00436	Supercontig_1.1	868644	871010	-	2367	3892
CLUG_00437	Supercontig_1.1	873156	875933	+	2778	546
CLUG_00438	Supercontig_1.1	876302	876844	-	543	322
CLUG_00439	Supercontig_1.1	878188	879696	+	1509	69
CLUG_00440	Supercontig_1.1	879846	880760	-	915	8990
CLUG_00441	Supercontig_1.1	881473	882705	-	1233	240
CLUG_00442	Supercontig_1.1	883324	888918	-	5595	244
CLUG_00443	Supercontig_1.1	889720	891885	-	2166	410
CLUG_00444	Supercontig_1.1	892959	894749	-	1791	195
CLUG_00445	Supercontig_1.1	896704	897714	+	1011	262
CLUG_00446	Supercontig_1.1	898469	899755	-	1287	34298
CLUG_00447	Supercontig_1.1	901302	904202	-	2901	568
CLUG_00448	Supercontig_1.1	905598	906140	+	543	174
CLUG_00449	Supercontig_1.1	907383	908231	-	849	237
CLUG_00450	Supercontig_1.1	907560	908198	+	639	216
CLUG_00451	Supercontig_1.1	908497	911199	-	2703	149
CLUG_00452	Supercontig_1.1	909248	909709	+	462	17
CLUG_00453	Supercontig_1.1	912950	918517	-	5568	424
CLUG_00454	Supercontig_1.1	919597	921156	-	1560	41
CLUG_00455	Supercontig_1.1	922124	923233	+	1110	818
CLUG_00456	Supercontig_1.1	923598	924851	+	1254	29
CLUG_00457	Supercontig_1.1	923772	924695	-	924	23
CLUG_00458	Supercontig_1.1	925524	926684	+	1161	34
CLUG_00459	Supercontig_1.1	928123	929547	-	1425	62
CLUG_00460	Supercontig_1.1	932250	933980	-	1731	748
CLUG_00461	Supercontig_1.1	932268	934349	+	2082	879
CLUG_00462	Supercontig_1.1	936211	937305	+	1095	190
CLUG_00463	Supercontig_1.1	938479	938916	-	438	456
CLUG_00464	Supercontig_1.1	939325	940002	+	678	9
CLUG_00465	Supercontig_1.1	941827	943680	-	1854	1126
CLUG_00466	Supercontig_1.1	945101	946738	+	1638	1224
CLUG_00467	Supercontig_1.1	947233	948912	-	1680	18
CLUG_00468	Supercontig_1.1	947320	948966	+	1647	17
CLUG_00469	Supercontig_1.1	951963	952412	+	450	9776
CLUG_00470	Supercontig_1.1	952877	954187	-	1311	31
CLUG_00471	Supercontig_1.1	954717	959936	-	5220	838
CLUG_00472	Supercontig_1.1	962613	963062	-	450	5936
CLUG_00473	Supercontig_1.1	963235	963693	-	459	42
CLUG_00474	Supercontig_1.1	965384	967906	+	2523	108
CLUG_00475	Supercontig_1.1	969271	970818	-	1548	142380
CLUG_00476	Supercontig_1.1	969283	970659	+	1377	138947
CLUG_00477	Supercontig_1.1	971359	972246	+	888	823
CLUG_00478	Supercontig_1.1	972787	973644	+	858	927
CLUG_00479	Supercontig_1.1	972979	973623	-	645	786
CLUG_00480	Supercontig_1.1	974841	975803	+	963	1611
CLUG_00481	Supercontig_1.1	976316	976831	-	516	986
CLUG_00482	Supercontig_1.1	976361	976957	+	597	985
CLUG_00483	Supercontig_1.1	978318	979625	+	1308	1606
CLUG_00484	Supercontig_1.1	980067	981194	-	1128	1069
CLUG_00485	Supercontig_1.1	981952	983298	-	1347	5781
CLUG_00486	Supercontig_1.1	983783	984775	-	993	6943
CLUG_00487	Supercontig_1.1	986404	988149	+	1746	3266
CLUG_00488	Supercontig_1.1	988738	989301	+	564	14
CLUG_00489	Supercontig_1.1	989437	991566	+	2130	79
CLUG_00490	Supercontig_1.1	993248	995368	+	2121	397
CLUG_00491	Supercontig_1.1	995417	995917	+	501	311
CLUG_00492	Supercontig_1.1	995650	996234	-	585	467
CLUG_00493	Supercontig_1.1	996905	999433	+	2529	600
CLUG_00494	Supercontig_1.1	999834	1001723	-	1890	2372
CLUG_00495	Supercontig_1.1	1000002	1001744	+	1743	2111
CLUG_00496	Supercontig_1.1	1003510	1004412	+	903	3054
CLUG_00497	Supercontig_1.1	1003552	1004505	-	954	3003
CLUG_00498	Supercontig_1.1	1004952	1005413	-	462	258
CLUG_00499	Supercontig_1.1	1005501	1007567	-	2067	548
CLUG_00500	Supercontig_1.1	1007777	1008559	-	783	98
CLUG_00501	Supercontig_1.1	1008462	1009715	+	1254	107
CLUG_00502	Supercontig_1.1	1009812	1010276	-	465	82
