# Program:featureCounts v1.6.0; Command:"featureCounts" "-g" "gene_id" "-T" "8" "-G" "genome/candida_lusitaniae_ATCC42720_w_CBS_6936_MT.fasta" "-s" "2" "-a" "genome/candida_lusitaniae_1_transcripts.gtf" "--tmpDir" "/scratch" "-o" "results/featureCounts/U3B.r1.gsnap_frags.tab" "-F" "GTF" "-p" "aln/U3B.r1.gsnap.bam" 
Geneid	Chr	Start	End	Strand	Length	aln/U3B.r1.gsnap.bam
CLUG_00181	Supercontig_1.1	359036	359938	+	903	1114
CLUG_00182	Supercontig_1.1	361174	361605	+	432	1084
CLUG_00183	Supercontig_1.1	362173	364440	-	2268	5449
CLUG_00184	Supercontig_1.1	365541	366821	-	1281	1389
CLUG_00185	Supercontig_1.1	368136	369476	+	1341	750
CLUG_00186	Supercontig_1.1	370242	370898	+	657	516
CLUG_00187	Supercontig_1.1	371174	371827	-	654	1858
CLUG_00188	Supercontig_1.1	371453	371992	+	540	2
CLUG_00189	Supercontig_1.1	372603	373259	+	657	2771
CLUG_00190	Supercontig_1.1	373720	374346	-	627	2
CLUG_00191	Supercontig_1.1	376794	377327	+	534	1734
CLUG_00192	Supercontig_1.1	377513	379465	-	1953	1151
CLUG_00193	Supercontig_1.1	380451	381893	-	1443	1232
CLUG_00194	Supercontig_1.1	381973	383442	-	1470	6
CLUG_00195	Supercontig_1.1	385283	387031	+	1749	2471
CLUG_00196	Supercontig_1.1	388135	392499	-	4365	5829
CLUG_00197	Supercontig_1.1	392591	396217	-	3627	1969
CLUG_00198	Supercontig_1.1	396992	397672	+	681	830
CLUG_00199	Supercontig_1.1	398138	398845	-	708	29903
CLUG_00200	Supercontig_1.1	399222	399776	+	555	12
CLUG_00201	Supercontig_1.1	400899	405125	+	4227	1434
CLUG_00202	Supercontig_1.1	405611	406066	+	456	1310
CLUG_00203	Supercontig_1.1	407123	408253	+	1131	9109
CLUG_00204	Supercontig_1.1	408955	409992	+	1038	11580
CLUG_00205	Supercontig_1.1	410755	412602	+	1848	2291
CLUG_00206	Supercontig_1.1	412791	413579	+	789	13929
CLUG_00207	Supercontig_1.1	414569	416347	+	1779	1861
CLUG_00208	Supercontig_1.1	418924	420453	+	1530	6289
CLUG_00209	Supercontig_1.1	421327	422364	+	1038	3607
CLUG_00210	Supercontig_1.1	423401	425182	+	1782	2776
CLUG_00211	Supercontig_1.1	425533	427863	+	2331	3076
CLUG_00212	Supercontig_1.1	428212	429516	+	1305	2165
CLUG_00213	Supercontig_1.1	430078	431499	+	1422	1565
CLUG_00214	Supercontig_1.1	431640	433583	+	1944	1496
CLUG_00215	Supercontig_1.1	434218	435630	+	1413	2943
CLUG_00216	Supercontig_1.1	436585	437484	-	900	1040
CLUG_00217	Supercontig_1.1	437704	438393	-	690	1062
CLUG_00218	Supercontig_1.1	438942	439670	-	729	86
CLUG_00219	Supercontig_1.1	440575	443265	-	2691	2030
CLUG_00220	Supercontig_1.1	443009	444760	-	1752	505
CLUG_00221	Supercontig_1.1	446487	449246	+	2760	15284
CLUG_00222	Supercontig_1.1	446657	447508	-	852	42
CLUG_00223	Supercontig_1.1	449478	450782	-	1305	26624
CLUG_00224	Supercontig_1.1	452139	453389	-	1251	1115
CLUG_00225	Supercontig_1.1	454245	455702	+	1458	1018
CLUG_00226	Supercontig_1.1	455880	456851	+	972	4640
CLUG_00227	Supercontig_1.1	457165	458709	+	1545	1590
CLUG_00228	Supercontig_1.1	459052	459537	+	486	460
CLUG_00229	Supercontig_1.1	459586	460182	-	597	2354
CLUG_00230	Supercontig_1.1	460293	462083	-	1791	1485
CLUG_00231	Supercontig_1.1	462145	462687	+	543	487
CLUG_00232	Supercontig_1.1	463143	463535	-	393	968
CLUG_00233	Supercontig_1.1	464203	465207	-	1005	1439
CLUG_00234	Supercontig_1.1	466119	467933	-	1815	4435
CLUG_00235	Supercontig_1.1	469940	471283	+	1344	2250
CLUG_00236	Supercontig_1.1	469991	470791	-	801	7
CLUG_00237	Supercontig_1.1	470545	471027	-	483	0
CLUG_00238	Supercontig_1.1	471201	472376	+	1176	2894
CLUG_00239	Supercontig_1.1	472225	473172	+	948	4106
CLUG_00240	Supercontig_1.1	473181	474443	-	1263	618
CLUG_00241	Supercontig_1.1	474858	475748	-	891	242
CLUG_00242	Supercontig_1.1	476801	478303	-	1503	97497
CLUG_00243	Supercontig_1.1	481208	481648	+	441	207
CLUG_00244	Supercontig_1.1	482299	483768	-	1470	1931
CLUG_00245	Supercontig_1.1	484446	485537	+	1092	2001
CLUG_00246	Supercontig_1.1	487122	488261	-	1140	1901
CLUG_00247	Supercontig_1.1	490035	491276	+	1242	182
CLUG_00248	Supercontig_1.1	491665	493323	+	1659	1799
CLUG_00249	Supercontig_1.1	494561	495916	-	1356	427
CLUG_00250	Supercontig_1.1	496331	497194	-	864	4658
CLUG_00251	Supercontig_1.1	497485	498942	+	1458	1053
CLUG_00252	Supercontig_1.1	499003	500058	-	1056	765
CLUG_00253	Supercontig_1.1	500122	502434	-	2313	961
CLUG_00254	Supercontig_1.1	502819	503424	-	606	2129
CLUG_00255	Supercontig_1.1	503752	504939	+	1188	3
CLUG_00256	Supercontig_1.1	505194	506396	+	1203	3831
CLUG_00257	Supercontig_1.1	506423	507166	-	744	0
CLUG_00258	Supercontig_1.1	507716	509701	+	1986	749
CLUG_00259	Supercontig_1.1	509924	511276	+	1353	730
CLUG_00260	Supercontig_1.1	511661	515485	+	3825	4164
CLUG_00261	Supercontig_1.1	515953	517836	+	1884	546
CLUG_00262	Supercontig_1.1	518092	519123	+	1032	492
CLUG_00263	Supercontig_1.1	520004	521815	-	1812	3575
CLUG_00264	Supercontig_1.1	522909	525350	+	2442	3751
CLUG_00265	Supercontig_1.1	525648	526526	-	879	695
CLUG_00266	Supercontig_1.1	527173	529434	+	2262	1621
CLUG_00267	Supercontig_1.1	529589	530884	-	1296	2682
CLUG_00268	Supercontig_1.1	531662	532117	+	456	6739
CLUG_00269	Supercontig_1.1	532104	534128	+	2025	851
CLUG_00270	Supercontig_1.1	534181	535143	+	963	371
CLUG_00271	Supercontig_1.1	535196	536515	-	1320	25784
CLUG_00272	Supercontig_1.1	537200	538075	+	876	765
CLUG_00273	Supercontig_1.1	538164	539036	-	873	7386
CLUG_00274	Supercontig_1.1	539780	540349	+	570	920
CLUG_00275	Supercontig_1.1	540542	541210	+	669	17
CLUG_00276	Supercontig_1.1	540742	541572	-	831	5135
CLUG_00277	Supercontig_1.1	542289	544766	+	2478	3143
CLUG_00278	Supercontig_1.1	547075	548322	+	1248	85639
CLUG_00279	Supercontig_1.1	548530	549132	-	603	355
CLUG_00280	Supercontig_1.1	549445	550656	+	1212	876
CLUG_00281	Supercontig_1.1	550710	553238	-	2529	1004
CLUG_00282	Supercontig_1.1	553791	555200	-	1410	7954
CLUG_00283	Supercontig_1.1	556869	558854	-	1986	4243
CLUG_00284	Supercontig_1.1	559741	560379	-	639	8
CLUG_00285	Supercontig_1.1	560486	562183	-	1698	1553
CLUG_00286	Supercontig_1.1	562526	563593	-	1068	18363
CLUG_00287	Supercontig_1.1	565044	567095	+	2052	7774
CLUG_00288	Supercontig_1.1	567254	568999	+	1746	2145
CLUG_00289	Supercontig_1.1	569087	570019	-	933	861
CLUG_00290	Supercontig_1.1	570075	571079	-	1005	957
CLUG_00291	Supercontig_1.1	572078	573100	+	1023	345
CLUG_00292	Supercontig_1.1	573550	574227	+	678	1155
CLUG_00293	Supercontig_1.1	574453	576690	+	2238	1028
CLUG_00294	Supercontig_1.1	577236	577565	+	330	84
CLUG_00295	Supercontig_1.1	577877	578197	-	321	128967
CLUG_00296	Supercontig_1.1	579830	582631	-	2802	5539
CLUG_00297	Supercontig_1.1	583089	584006	-	918	35
CLUG_00298	Supercontig_1.1	584784	586319	+	1536	1963
CLUG_00299	Supercontig_1.1	586474	586908	-	435	1367
CLUG_00300	Supercontig_1.1	587726	589042	+	1317	872
CLUG_00301	Supercontig_1.1	589384	590535	-	1152	1162
CLUG_00302	Supercontig_1.1	590728	592365	+	1638	2771
CLUG_00303	Supercontig_1.1	593700	594974	+	1275	4506
CLUG_00304	Supercontig_1.1	595266	597005	-	1740	481
CLUG_00305	Supercontig_1.1	598008	600170	-	2163	1712
CLUG_00306	Supercontig_1.1	601065	601526	+	462	34
CLUG_00307	Supercontig_1.1	601672	602358	+	687	2643
CLUG_00308	Supercontig_1.1	602643	603233	-	591	1608
CLUG_00309	Supercontig_1.1	603574	606087	-	2514	2412
CLUG_00310	Supercontig_1.1	606641	607216	+	576	0
CLUG_00311	Supercontig_1.1	607327	609615	+	2289	2249
CLUG_00312	Supercontig_1.1	610025	611173	-	1149	1519
CLUG_00313	Supercontig_1.1	612397	613911	-	1515	1314
CLUG_00314	Supercontig_1.1	616811	618907	+	2097	5509
CLUG_00315	Supercontig_1.1	620650	621789	+	1140	1153
CLUG_00316	Supercontig_1.1	621867	623528	-	1662	5313
CLUG_00317	Supercontig_1.1	624265	631167	-	6903	1102
CLUG_00318	Supercontig_1.1	632354	633676	+	1323	3709
CLUG_00319	Supercontig_1.1	634086	635291	-	1206	1141
CLUG_00320	Supercontig_1.1	635551	637884	+	2334	1860
CLUG_00321	Supercontig_1.1	638884	639708	+	825	7139
CLUG_00322	Supercontig_1.1	640251	641945	-	1695	440
CLUG_00323	Supercontig_1.1	642990	644783	-	1794	583
CLUG_00324	Supercontig_1.1	645758	647113	-	1356	3980
CLUG_00325	Supercontig_1.1	647827	648666	+	840	6
CLUG_00326	Supercontig_1.1	647926	648855	-	930	689
CLUG_00327	Supercontig_1.1	649140	652160	-	3021	556
CLUG_00328	Supercontig_1.1	652363	654399	-	2037	209
CLUG_00329	Supercontig_1.1	654735	655187	+	453	681
CLUG_00330	Supercontig_1.1	655314	658691	-	3378	2437
CLUG_00331	Supercontig_1.1	659677	663540	-	3864	1390
CLUG_00332	Supercontig_1.1	664287	664919	+	633	691
CLUG_00333	Supercontig_1.1	665275	665967	-	693	656
CLUG_00334	Supercontig_1.1	667328	668287	+	960	276
CLUG_00335	Supercontig_1.1	668509	671400	+	2892	1079
CLUG_00336	Supercontig_1.1	671652	672215	+	564	349
CLUG_00337	Supercontig_1.1	673493	674152	+	660	1590
CLUG_00338	Supercontig_1.1	674203	675783	-	1581	1695
CLUG_00339	Supercontig_1.1	676445	678100	+	1656	1040
CLUG_00340	Supercontig_1.1	678183	678896	-	714	320
CLUG_00341	Supercontig_1.1	680113	681822	+	1710	9
CLUG_00342	Supercontig_1.1	682583	683449	+	867	2680
CLUG_00343	Supercontig_1.1	683898	685151	-	1254	536
CLUG_00344	Supercontig_1.1	685565	686815	+	1251	704
CLUG_00345	Supercontig_1.1	686861	687490	-	630	5154
CLUG_00346	Supercontig_1.1	688087	690522	-	2436	1205
CLUG_00347	Supercontig_1.1	691857	694151	+	2295	1154
CLUG_00348	Supercontig_1.1	694187	695281	-	1095	802
CLUG_00349	Supercontig_1.1	695581	697263	+	1683	1879
CLUG_00350	Supercontig_1.1	697388	698983	-	1596	4551
CLUG_00351	Supercontig_1.1	699337	700359	+	1023	674
CLUG_00352	Supercontig_1.1	701669	703423	+	1755	17
CLUG_00353	Supercontig_1.1	704174	704758	+	585	3792
CLUG_00354	Supercontig_1.1	704879	705334	-	456	300
CLUG_00355	Supercontig_1.1	706583	707050	-	468	126
CLUG_00356	Supercontig_1.1	706603	707319	-	717	622
CLUG_00357	Supercontig_1.1	709109	711304	+	2196	1407
CLUG_00358	Supercontig_1.1	713916	714806	-	891	9
CLUG_00359	Supercontig_1.1	713940	714866	+	927	3680
CLUG_00360	Supercontig_1.1	714697	715233	+	537	1602
CLUG_00361	Supercontig_1.1	717222	718220	+	999	24895
CLUG_00362	Supercontig_1.1	718693	719241	+	549	0
CLUG_00363	Supercontig_1.1	718720	719184	-	465	3038
CLUG_00364	Supercontig_1.1	718841	719323	+	483	0
CLUG_00365	Supercontig_1.1	719247	719741	+	495	335
CLUG_00366	Supercontig_1.1	720850	721512	-	663	2913
CLUG_00367	Supercontig_1.1	722638	725727	-	3090	5244
CLUG_00368	Supercontig_1.1	727279	728745	+	1467	1901
CLUG_00369	Supercontig_1.1	729189	730088	-	900	1218
CLUG_00370	Supercontig_1.1	730677	731747	+	1071	853
CLUG_00371	Supercontig_1.1	733025	733693	+	669	1174
CLUG_00372	Supercontig_1.1	734239	735087	-	849	921
CLUG_00373	Supercontig_1.1	736842	740330	+	3489	1017
CLUG_00374	Supercontig_1.1	741059	742681	+	1623	781
CLUG_00375	Supercontig_1.1	743232	743639	+	408	866
CLUG_00376	Supercontig_1.1	744308	745288	+	981	1
CLUG_00377	Supercontig_1.1	744353	745264	-	912	3109
CLUG_00378	Supercontig_1.1	747072	748958	+	1887	655
CLUG_00379	Supercontig_1.1	749759	750394	-	636	186
CLUG_00380	Supercontig_1.1	751358	752197	+	840	19579
CLUG_00381	Supercontig_1.1	751370	752293	-	924	13
CLUG_00382	Supercontig_1.1	753181	754161	-	981	1009
CLUG_00383	Supercontig_1.1	755831	756814	-	984	106
CLUG_00384	Supercontig_1.1	757641	758975	+	1335	1474
CLUG_00385	Supercontig_1.1	759141	760334	-	1194	1587
CLUG_00386	Supercontig_1.1	761128	761637	+	510	7478
CLUG_00387	Supercontig_1.1	761739	764378	-	2640	2397
CLUG_00388	Supercontig_1.1	764823	765449	+	627	1239
CLUG_00389	Supercontig_1.1	765577	767253	-	1677	1896
CLUG_00390	Supercontig_1.1	767974	769701	-	1728	6555
CLUG_00391	Supercontig_1.1	769889	773221	-	3333	674
CLUG_00392	Supercontig_1.1	773948	777334	-	3387	2458
CLUG_00393	Supercontig_1.1	778265	779308	-	1044	1393
CLUG_00394	Supercontig_1.1	780274	782598	+	2325	36
CLUG_00395	Supercontig_1.1	780313	782616	-	2304	122769
CLUG_00396	Supercontig_1.1	784086	785192	-	1107	8318
CLUG_00397	Supercontig_1.1	787556	788431	-	876	13
CLUG_00398	Supercontig_1.1	787613	788410	+	798	32032
CLUG_00399	Supercontig_1.1	788445	789254	+	810	37705
CLUG_00400	Supercontig_1.1	790032	791918	-	1887	3143
CLUG_00401	Supercontig_1.1	792068	793138	-	1071	0
CLUG_00402	Supercontig_1.1	793332	794918	-	1587	0
CLUG_00403	Supercontig_1.1	794885	797278	-	2394	4
CLUG_00404	Supercontig_1.1	798421	799779	+	1359	287
CLUG_00405	Supercontig_1.1	800822	801847	-	1026	6
CLUG_00406	Supercontig_1.1	800990	802114	+	1125	281
CLUG_00407	Supercontig_1.1	802312	802941	-	630	2361
CLUG_00408	Supercontig_1.1	803942	805243	-	1302	1427
CLUG_00409	Supercontig_1.1	805966	806706	-	741	1000
CLUG_00410	Supercontig_1.1	806318	806620	+	303	1
CLUG_00411	Supercontig_1.1	807342	807914	+	573	433
CLUG_00412	Supercontig_1.1	808328	811621	-	3294	5274
CLUG_00413	Supercontig_1.1	812427	813098	+	672	0
CLUG_00414	Supercontig_1.1	814098	815327	+	1230	0
CLUG_00415	Supercontig_1.1	816599	817912	+	1314	6776
CLUG_00416	Supercontig_1.1	818570	820975	-	2406	1404
CLUG_00417	Supercontig_1.1	822960	824525	+	1566	106
CLUG_00418	Supercontig_1.1	825460	826398	+	939	617
CLUG_00419	Supercontig_1.1	827508	829151	+	1644	562124
CLUG_00420	Supercontig_1.1	830696	831748	+	1053	109871
CLUG_00421	Supercontig_1.1	834313	835590	+	1278	3558
CLUG_00422	Supercontig_1.1	836461	837735	+	1275	48877
CLUG_00423	Supercontig_1.1	839040	840701	+	1662	16494
CLUG_00424	Supercontig_1.1	841824	843407	-	1584	3910
CLUG_00425	Supercontig_1.1	843646	844113	+	468	20
CLUG_00426	Supercontig_1.1	844472	847534	-	3063	995
CLUG_00427	Supercontig_1.1	848005	849303	-	1299	452
CLUG_00428	Supercontig_1.1	849592	850449	+	858	3756
CLUG_00429	Supercontig_1.1	851128	851775	-	648	530
CLUG_00430	Supercontig_1.1	852740	853738	+	999	2886
CLUG_00431	Supercontig_1.1	853909	857307	-	3399	8827
CLUG_00432	Supercontig_1.1	858373	858939	+	567	262
CLUG_00433	Supercontig_1.1	859545	862304	-	2760	1940
CLUG_00434	Supercontig_1.1	862649	864376	-	1728	999
CLUG_00435	Supercontig_1.1	866068	867222	-	1155	789
CLUG_00436	Supercontig_1.1	868644	871010	-	2367	3363
CLUG_00437	Supercontig_1.1	873156	875933	+	2778	1700
CLUG_00438	Supercontig_1.1	876302	876844	-	543	7490
CLUG_00439	Supercontig_1.1	878188	879696	+	1509	6
CLUG_00440	Supercontig_1.1	879846	880760	-	915	22633
CLUG_00441	Supercontig_1.1	881473	882705	-	1233	1994
CLUG_00442	Supercontig_1.1	883324	888918	-	5595	1487
CLUG_00443	Supercontig_1.1	889720	891885	-	2166	1032
CLUG_00444	Supercontig_1.1	892959	894749	-	1791	367
CLUG_00445	Supercontig_1.1	896704	897714	+	1011	312
CLUG_00446	Supercontig_1.1	898469	899755	-	1287	18060
CLUG_00447	Supercontig_1.1	901302	904202	-	2901	540
CLUG_00448	Supercontig_1.1	905598	906140	+	543	9520
CLUG_00449	Supercontig_1.1	907383	908231	-	849	127
CLUG_00450	Supercontig_1.1	907560	908198	+	639	2749
CLUG_00451	Supercontig_1.1	908497	911199	-	2703	1482
CLUG_00452	Supercontig_1.1	909248	909709	+	462	5
CLUG_00453	Supercontig_1.1	912950	918517	-	5568	4286
CLUG_00454	Supercontig_1.1	919597	921156	-	1560	368
CLUG_00455	Supercontig_1.1	922124	923233	+	1110	33856
CLUG_00456	Supercontig_1.1	923598	924851	+	1254	10
CLUG_00457	Supercontig_1.1	923772	924695	-	924	835
CLUG_00458	Supercontig_1.1	925524	926684	+	1161	662
CLUG_00459	Supercontig_1.1	928123	929547	-	1425	1876
CLUG_00460	Supercontig_1.1	932250	933980	-	1731	11
CLUG_00461	Supercontig_1.1	932268	934349	+	2082	671
CLUG_00462	Supercontig_1.1	936211	937305	+	1095	583
CLUG_00463	Supercontig_1.1	938479	938916	-	438	1360
CLUG_00464	Supercontig_1.1	939325	940002	+	678	308
CLUG_00465	Supercontig_1.1	941827	943680	-	1854	3657
CLUG_00466	Supercontig_1.1	945101	946738	+	1638	11691
CLUG_00467	Supercontig_1.1	947233	948912	-	1680	21
CLUG_00468	Supercontig_1.1	947320	948966	+	1647	0
CLUG_00469	Supercontig_1.1	951963	952412	+	450	13243
CLUG_00470	Supercontig_1.1	952877	954187	-	1311	516
CLUG_00471	Supercontig_1.1	954717	959936	-	5220	2857
CLUG_00472	Supercontig_1.1	962613	963062	-	450	53287
CLUG_00473	Supercontig_1.1	963235	963693	-	459	27
CLUG_00474	Supercontig_1.1	965384	967906	+	2523	647
CLUG_00475	Supercontig_1.1	969271	970818	-	1548	21
CLUG_00476	Supercontig_1.1	969283	970659	+	1377	71965
CLUG_00477	Supercontig_1.1	971359	972246	+	888	582
CLUG_00478	Supercontig_1.1	972787	973644	+	858	7
CLUG_00479	Supercontig_1.1	972979	973623	-	645	3490
CLUG_00480	Supercontig_1.1	974841	975803	+	963	7267
CLUG_00481	Supercontig_1.1	976316	976831	-	516	1
CLUG_00482	Supercontig_1.1	976361	976957	+	597	2509
CLUG_00483	Supercontig_1.1	978318	979625	+	1308	2878
CLUG_00484	Supercontig_1.1	980067	981194	-	1128	1078
CLUG_00485	Supercontig_1.1	981952	983298	-	1347	6469
CLUG_00486	Supercontig_1.1	983783	984775	-	993	2202
CLUG_00487	Supercontig_1.1	986404	988149	+	1746	3881
CLUG_00488	Supercontig_1.1	988738	989301	+	564	0
CLUG_00489	Supercontig_1.1	989437	991566	+	2130	2
CLUG_00490	Supercontig_1.1	993248	995368	+	2121	1476
CLUG_00491	Supercontig_1.1	995417	995917	+	501	9
CLUG_00492	Supercontig_1.1	995650	996234	-	585	967
CLUG_00493	Supercontig_1.1	996905	999433	+	2529	2057
CLUG_00494	Supercontig_1.1	999834	1001723	-	1890	3724
CLUG_00495	Supercontig_1.1	1000002	1001744	+	1743	3
CLUG_00496	Supercontig_1.1	1003510	1004412	+	903	137
CLUG_00497	Supercontig_1.1	1003552	1004505	-	954	7006
CLUG_00498	Supercontig_1.1	1004952	1005413	-	462	616
CLUG_00499	Supercontig_1.1	1005501	1007567	-	2067	1733
CLUG_00500	Supercontig_1.1	1007777	1008559	-	783	0
